timeMillis,timeNanos,x,y,z
1576422115584,2076282980623,309.28,-19.84,12.29
1576422115603,2076302980623,308.68,-19.71,13.59
1576422115631,2076322980623,307.9,-19.439999,14.589999
1576422115643,2076342980623,307.18,-19.41,15.0
1576422115663,2076362980623,306.50998,-19.869999,14.929999
1576422115683,2076382980623,305.85,-20.59,14.759999
1576422115703,2076402982186,304.86,-20.98,14.65
1576422115723,2076422980623,303.38,-20.9,14.66
1576422115743,2076442980623,301.9,-20.76,15.179999
1576422115763,2076462980623,300.85,-20.82,16.0
1576422115784,2076482982186,300.16,-21.039999,16.619999
1576422115803,2076502980623,299.44998,-21.26,16.84
1576422115823,2076522982186,298.38,-21.189999,16.609999
1576422115843,2076542982186,296.91,-20.76,16.25
1576422115864,2076562982186,295.27,-20.22,16.19
1576422115883,2076582982186,293.78,-19.6,16.369999
1576422115903,2076602982186,292.50998,-18.97,16.46
1576422115923,2076622982186,291.41998,-18.44,16.32
1576422115943,2076642980623,290.47,-17.94,16.1
1576422115963,2076662982186,289.66998,-17.41,15.7699995
1576422115983,2076682982186,288.99,-16.91,15.219999
1576422116003,2076702980623,288.36,-16.48,14.589999
1576422116023,2076722980623,287.75998,-16.16,13.98
1576422116043,2076742980623,287.3,-15.849999,13.179999
1576422116064,2076762980623,286.96,-15.4,12.059999
1576422116083,2076782982186,286.79,-14.86,11.17
1576422116103,2076802982186,286.97998,-14.559999,10.87
1576422116123,2076822980623,287.47,-14.839999,10.9
1576422116143,2076842980623,288.11,-15.92,10.889999
1576422116163,2076862980623,288.72998,-17.83,10.78
1576422116183,2076882980623,289.22,-20.279999,10.639999
1576422116203,2076902980623,289.19,-22.6,10.29
1576422116223,2076922980623,288.44,-24.039999,9.559999
1576422116243,2076942980623,287.37,-24.699999,8.76
1576422116264,2076962980623,286.38,-25.23,8.16
1576422116283,2076982980623,285.72,-25.88,7.7599998
1576422116305,2077002980623,285.4,-26.46,7.35
1576422116323,2077022980623,285.19,-26.68,6.8999996
1576422116344,2077042980623,284.85,-26.43,6.5
1576422116363,2077062980623,284.41,-25.98,6.16
1576422116383,2077082980623,284.11,-25.949999,5.8399997
1576422116403,2077102980623,284.15,-26.68,5.48
1576422116423,2077122980623,284.53,-27.88,5.1099997
1576422116443,2077142980623,285.0,-28.939999,4.7
1576422116464,2077162980623,285.33,-29.5,4.2
1576422116483,2077182980623,285.47,-29.63,3.6599998
1576422116504,2077202980623,285.59,-29.48,3.1699998
1576422116523,2077222980623,285.78,-29.16,2.81
1576422116543,2077242980623,286.08,-28.789999,2.58
1576422116563,2077262980623,286.44998,-28.38,2.47
1576422116584,2077282980623,286.85,-27.98,2.48
1576422116603,2077302980623,287.31,-27.689999,2.56
1576422116627,2077322980623,287.85,-27.529999,2.81
1576422116643,2077342980623,288.53,-27.43,3.36
1576422116663,2077362980623,289.33,-27.3,4.0499997
1576422116683,2077382980623,290.06,-27.14,4.56
1576422116703,2077402982186,290.57,-27.09,4.67
1576422116723,2077422980623,290.83,-27.31,4.43
1576422116743,2077442980623,291.0,-27.81,4.16
1576422116764,2077462980623,291.19998,-28.46,4.12
1576422116783,2077482980623,291.34,-29.109999,4.24
1576422116808,2077502980623,291.31,-29.58,4.2799997
1576422116823,2077522980623,291.06,-29.859999,4.1
1576422116843,2077542980623,290.75,-30.08,3.9099998
1576422116864,2077562980623,290.47998,-30.17,3.8799999
1576422116883,2077582980623,290.33,-30.05,4.0299997
1576422116903,2077602980623,290.37,-29.92,4.35
1576422116923,2077622982186,290.38998,-29.84,4.56
1576422116943,2077642982186,290.18,-29.63,4.52
1576422116963,2077662980623,289.9,-29.429998,4.5899997
1576422116983,2077682982186,289.66,-29.5,4.93
1576422117003,2077702980623,289.36,-29.949999,5.3199997
1576422117023,2077722980623,288.9,-30.529999,5.3599997
1576422117043,2077742980623,288.31,-30.89,4.9
1576422117064,2077762982186,287.78,-30.91,4.27
1576422117083,2077782982186,287.43,-30.779999,3.8899999
1576422117104,2077802980623,287.18,-30.599998,3.8799999
1576422117123,2077822980623,286.94,-30.41,4.18
1576422117143,2077842980623,286.69998,-30.279999,4.5699997
1576422117163,2077862980623,286.50998,-30.23,4.87
1576422117183,2077882980623,286.38,-30.25,4.98
1576422117203,2077902980623,286.22998,-30.23,4.91
1576422117223,2077922980623,285.97,-30.06,4.81
1576422117243,2077942980623,285.66,-29.72,4.77
1576422117264,2077962980623,285.36,-29.32,4.75
1576422117283,2077982980623,285.13998,-28.949999,4.74
