bssid,frequency,rss,ssid,timeMillis,timestamp
24dec6e33f40,2472,-92,Welcome_KAIST,1576422118997,2079684633
d8c7c8df16e1,2472,-87,Welcome_KAIST,1576422118997,2079684630
d8c7c8df16e2,2472,-87,Welcome_1st_KAIST,1576422118997,2079684626
d8c7c8df16e0,2472,-86,eduroam,1576422118997,2079684615
24dec6ec5ef0,5220,-58,Welcome_KAIST,1576422122863,2083531734
909f33a803d4,5805,-84,5107_5G,1576422122863,2083531731
88366cd63883,5805,-65,cbe pc room 5G-1,1576422122863,2083531729
8625190c6644,2472,-88,DIRECT-IiM267x 287x Series,1576422122863,2083531727
001a1e742292,5785,-87,Welcome_1st_KAIST,1576422122863,2083531725
001a1e742291,5785,-87,eduroam,1576422122863,2083531723
001a1e742290,5785,-88,Welcome_KAIST,1576422122863,2083531721
88366c7d4f56,5745,-82,SBML5G,1576422122863,2083531719
88366c5842a0,5745,-57,MaturePolis Lab. 5G,1576422122863,2083531717
24dec6e32e61,2472,-93,eduroam,1576422122863,2083531714
d8c7c8df16e2,2472,-88,Welcome_1st_KAIST,1576422122863,2083531710
909f335a8494,2472,-95,BIOMASS_24G,1576422122863,2083531707
24dec6e33e60,2472,-83,Welcome_KAIST,1576422122863,2083531705
24dec6e32001,2472,-96,eduroam,1576422122863,2083531703
24dec6e33f42,2472,-91,Welcome_1st_KAIST,1576422122863,2083531701
24dec6e33f41,2472,-91,eduroam,1576422122863,2083531698
24dec6e33f40,2472,-88,Welcome_KAIST,1576422122863,2083531697
d8c7c8de3922,2472,-92,Welcome_1st_KAIST,1576422122863,2083531694
24dec6e32e62,2472,-94,Welcome_1st_KAIST,1576422122863,2083531692
24dec6e32e60,2472,-92,Welcome_KAIST,1576422122863,2083531690
0026661f3890,2462,-88,KJD,1576422122863,2083531688
24dec6e33e62,2472,-83,Welcome_1st_KAIST,1576422122863,2083531686
24dec6e33e61,2472,-83,eduroam,1576422122863,2083531684
d8c7c8de3920,2472,-93,eduroam,1576422122863,2083531681
64e599ba264e,2472,-76,iptime,1576422122863,2083531679
86251933d94b,2462,-83,DIRECT-rYM267x 287x Series,1576422122863,2083531675
64e599edbdd2,2447,-79,KAISTCONCRETE,1576422122863,2083531673
002666c4d564,2452,-86,iptime-MBELoffice,1576422122863,2083531671
b252165200fe,2437,-73,DIRECT-fe-HP M280 LaserJet,1576422122863,2083531668
64e59919937a,2432,-92,msestudyroom,1576422122863,2083531666
705dcc3e1366,2417,-78,iptime,1576422122863,2083531664
d8c7c8df0472,5240,-83,Welcome_1st_KAIST,1576422122863,2083531663
d8c7c8df0471,5240,-83,Welcome_KAIST,1576422122863,2083531661
d8c7c8df0470,5240,-82,eduroam,1576422122863,2083531659
705dcc3dc6c8,2417,-76,iptime,1576422122863,2083531655
d8c7c8df1112,5180,-74,Welcome_1st_KAIST,1576422122863,2083531653
d8c7c8df1111,5180,-71,Welcome_KAIST,1576422122863,2083531649
d8c7c8df1110,5180,-71,eduroam,1576422122863,2083531647
6c198fcfbaca,5180,-77,procal5.0,1576422122863,2083531644
88366c07a64e,5745,-88,Lense_5Ghz,1576422122863,2083531641
24dec6e33e72,5745,-87,Welcome_1st_KAIST,1576422122863,2083531637
24dec6e33e71,5745,-87,eduroam,1576422122863,2083531635
24dec6e33e70,5745,-86,Welcome_KAIST,1576422122863,2083531632
909f33bb2166,5745,-81,MASS_3101_5G,1576422122863,2083531628
d8c7c8de3921,2472,-84,Welcome_KAIST,1576422122863,2083531624
64e5995b627c,2472,-88,SWEET Lab,1576422122863,2083531618
00089f942691,2472,-92,Sung Gap Im,1576422122863,2083531606
8625190c6644,2472,-79,DIRECT-IiM267x 287x Series,1576422126704,2087384478
909f33a803d4,5805,-84,5107_5G,1576422126704,2087384476
88366cd63883,5805,-66,cbe pc room 5G-1,1576422126704,2087384473
001a1e742292,5785,-84,Welcome_1st_KAIST,1576422126704,2087384471
001a1e742291,5785,-83,eduroam,1576422126704,2087384466
001a1e742290,5785,-83,Welcome_KAIST,1576422126704,2087384464
d8c7c8df08f2,5765,-81,Welcome_1st_KAIST,1576422126704,2087384462
d8c7c8df08f1,5765,-79,Welcome_KAIST,1576422126704,2087384459
d8c7c8df08f0,5765,-81,eduroam,1576422126704,2087384456
88366c7d4f56,5745,-86,SBML5G,1576422126704,2087384453
88366c5842a0,5745,-69,MaturePolis Lab. 5G,1576422126704,2087384449
d8c7c8df08e1,2472,-87,Welcome_KAIST,1576422126704,2087384445
64e599ba264e,2472,-81,iptime,1576422126704,2087384442
d8c7c8de3922,2472,-87,Welcome_1st_KAIST,1576422126704,2087384440
d8c7c8de3921,2472,-88,Welcome_KAIST,1576422126704,2087384438
d8c7c8de3920,2472,-88,eduroam,1576422126704,2087384436
24dec6e32e62,2472,-86,Welcome_1st_KAIST,1576422126704,2087384434
24dec6e32e60,2472,-91,Welcome_KAIST,1576422126704,2087384431
24dec6e33e60,2472,-94,Welcome_KAIST,1576422126704,2087384429
24dec6e32e61,2472,-88,eduroam,1576422126704,2087384426
d8c7c8df08e2,2472,-91,Welcome_1st_KAIST,1576422126704,2087384424
aa2bb97f7708,2462,-87,AndroidHotspot6543,1576422126704,2087384420
0026661f3890,2462,-74,KJD,1576422126704,2087384418
b85510df244a,2462,-80,Samsung_2.4G,1576422126704,2087384416
64e599edbdd2,2447,-77,KAISTCONCRETE,1576422126704,2087384412
d8c7c8dc3a32,5240,-85,Welcome_1st_KAIST,1576422126704,2087384410
d8c7c8dc3a31,5240,-87,Welcome_KAIST,1576422126704,2087384407
d8c7c8dc3a30,5240,-87,eduroam,1576422126704,2087384405
24dec6e34132,5240,-81,Welcome_1st_KAIST,1576422126704,2087384403
24dec6e34131,5240,-81,eduroam,1576422126704,2087384399
d8c7c8df2e50,5240,-87,eduroam,1576422126704,2087384396
d8c7c8df0052,5220,-92,Welcome_1st_KAIST,1576422126704,2087384394
d8c7c8df0051,5220,-93,Welcome_KAIST,1576422126704,2087384392
d8c7c8df0050,5220,-92,eduroam,1576422126704,2087384390
24dec6ec5ef2,5220,-60,Welcome_1st_KAIST,1576422126704,2087384388
24dec6ec5ef1,5220,-61,eduroam,1576422126704,2087384386
24dec6ec5ef0,5220,-60,Welcome_KAIST,1576422126704,2087384383
88366c7d4f54,2412,-70,SBML2.4G,1576422126704,2087384379
f8e903c1227a,5180,-94,irap container-5ghz,1576422126704,2087384376
50c7bf41556e,5180,-94,CMPL_5G,1576422126704,2087384374
88366cd63882,5180,-61,cbe pc room 5G-2,1576422126704,2087384371
002666c4d560,5180,-88,iptime5G-mbeloffice,1576422126704,2087384365
d8c7c8df16e2,2472,-88,Welcome_1st_KAIST,1576422126704,2087384362
909f335a8494,2472,-95,BIOMASS_24G,1576422126704,2087384358
24dec6e32001,2472,-96,eduroam,1576422126704,2087384351
24dec6e33f42,2472,-91,Welcome_1st_KAIST,1576422126704,2087384349
24dec6e33f41,2472,-91,eduroam,1576422126704,2087384344
24dec6e33f40,2472,-88,Welcome_KAIST,1576422126704,2087384342
24dec6e33e62,2472,-83,Welcome_1st_KAIST,1576422126704,2087384338
24dec6e33e61,2472,-83,eduroam,1576422126704,2087384325
8625190c6644,2472,-87,DIRECT-IiM267x 287x Series,1576422130570,2091250324
88366cd63883,5805,-66,cbe pc room 5G-1,1576422130570,2091250321
001a1e742292,5785,-78,Welcome_1st_KAIST,1576422130570,2091250319
001a1e742291,5785,-81,eduroam,1576422130570,2091250316
001a1e742290,5785,-78,Welcome_KAIST,1576422130570,2091250314
24dec6e33e72,5745,-93,Welcome_1st_KAIST,1576422130570,2091250312
24dec6e33e71,5745,-93,eduroam,1576422130570,2091250310
24dec6e33e70,5745,-94,Welcome_KAIST,1576422130570,2091250307
88366c7d4f56,5745,-78,SBML5G,1576422130570,2091250305
909f33bb2166,5745,-79,MASS_3101_5G,1576422130570,2091250301
88366c5842a0,5745,-71,MaturePolis Lab. 5G,1576422130570,2091250298
64e599ba264e,2472,-81,iptime,1576422130570,2091250293
24dec6e33e60,2472,-92,Welcome_KAIST,1576422130570,2091250292
d8c7c8df2e42,2472,-91,Welcome_1st_KAIST,1576422130570,2091250289
24dec6e33e62,2472,-88,Welcome_1st_KAIST,1576422130570,2091250287
24dec6e33e61,2472,-91,eduroam,1576422130570,2091250283
64e5996ca9c4,2462,-96,PNEL,1576422130570,2091250280
d8c7c8de3922,2472,-95,Welcome_1st_KAIST,1576422130570,2091250279
d8c7c8de3920,2472,-94,eduroam,1576422130570,2091250277
d8c7c8df16e2,2472,-92,Welcome_1st_KAIST,1576422130570,2091250275
d8c7c8df16e1,2472,-91,Welcome_KAIST,1576422130570,2091250273
d8c7c8df16e0,2472,-88,eduroam,1576422130570,2091250271
0026661f3890,2462,-92,KJD,1576422130570,2091250267
909f335a8494,2472,-96,BIOMASS_24G,1576422130570,2091250265
d8c7c8de3921,2472,-93,Welcome_KAIST,1576422130570,2091250261
b85510df244a,2462,-82,Samsung_2.4G,1576422130570,2091250259
002666c4d564,2452,-85,iptime-MBELoffice,1576422130570,2091250256
00089f2a054a,2437,-84,MMML,1576422130570,2091250253
b252165200fe,2437,-75,DIRECT-fe-HP M280 LaserJet,1576422130570,2091250251
24dec6e34132,5240,-82,Welcome_1st_KAIST,1576422130570,2091250247
24dec6e34131,5240,-81,eduroam,1576422130570,2091250245
24dec6e34130,5240,-81,Welcome_KAIST,1576422130570,2091250240
705dcc3e1366,2417,-65,iptime,1576422130570,2091250238
24dec6ec5ef2,5220,-60,Welcome_1st_KAIST,1576422130570,2091250237
24dec6ec5ef1,5220,-60,eduroam,1576422130570,2091250234
