timeMillis,timeNanos,x,y,z
1576422115464,2076162980623,1.1901,2.8209999,9.3164
1576422115485,2076182980623,1.278,2.8962998,9.2816
1576422115504,2076202980623,1.4235,3.0042999,9.2259
1576422115525,2076222980623,1.5969,3.1208,9.1586
1576422115544,2076242980623,1.7565999,3.2078,9.0991
1576422115564,2076262980623,1.9108,3.2512,9.0525
1576422115585,2076282980623,2.0884,3.2531,9.0125
1576422115603,2076302980623,2.3056998,3.2161,8.9727
1576422115631,2076322980623,2.4716,3.1589,8.9488
1576422115644,2076342980623,2.5389,3.1489,8.933499
1576422115665,2076362980623,2.5279999,3.2213,8.9107
1576422115685,2076382980623,2.4998999,3.3362,8.8763
1576422115704,2076402982186,2.4814,3.3981998,8.858
1576422115725,2076422980623,2.4831998,3.3857,8.8623
1576422115744,2076442980623,2.569,3.3551998,8.8494
1576422115765,2076462980623,2.7041,3.3509998,8.810599
1576422115784,2076482982186,2.806,3.3736,8.7701
1576422115805,2076502980623,2.8414,3.4036,8.747
1576422115823,2076522982186,2.8035998,3.3978999,8.7614
1576422115843,2076542982186,2.7454998,3.3377,8.802899
1576422115864,2076562982186,2.7349,3.2552,8.837
1576422115883,2076582982186,2.7640998,3.1567,8.8636
1576422115905,2076602982186,2.7798,3.0572,8.893499
1576422115925,2076622982186,2.7565,2.9782999,8.9275
1576422115945,2076642980623,2.7201998,2.9025998,8.9635
1576422115965,2076662982186,2.666,2.8244998,9.0046
1576422115985,2076682982186,2.5760999,2.7526,9.0529995
1576422116005,2076702980623,2.4703,2.6934,9.1001
1576422116024,2076722980623,2.3690999,2.6499,9.1397
1576422116045,2076742980623,2.2367,2.6090999,9.1847
1576422116064,2076762980623,2.0496,2.5472,9.2455
1576422116083,2076782982186,1.9009,2.4673,9.2987995
1576422116105,2076802982186,1.8504,2.4213,9.3211
1576422116123,2076822980623,1.8543999,2.4665,9.3084
1576422116144,2076842980623,1.8528999,2.642,9.2604
1576422116163,2076862980623,1.8343999,2.9512,9.1703
1576422116185,2076882980623,1.8109,3.3411999,9.0402
1576422116205,2076902980623,1.7528,3.7080998,8.9077
1576422116225,2076922980623,1.6301999,3.9394,8.8313
1576422116245,2076942980623,1.4939,4.0509,8.8049
1576422116265,2076962980623,1.3934,4.1383,8.7807
1576422116285,2076982980623,1.3247,4.2423997,8.7416
1576422116306,2077002980623,1.2562,4.3345,8.7065
1576422116325,2077022980623,1.1796,4.3717,8.6986
1576422116344,2077042980623,1.1112,4.3382998,8.724299
1576422116364,2077062980623,1.0531,4.2718,8.7642
1576422116385,2077082980623,0.9978,4.2693,8.7719
1576422116403,2077102980623,0.93719995,4.3831,8.7223
1576422116425,2077122980623,0.8743,4.5684,8.6333
1576422116445,2077142980623,0.8045,4.7295,8.5529995
