timeMillis,timeNanos,x,y,z
1576422113440,2074143833186,0.14053391,0.20769417,0.055798177
1576422113460,2074163831623,-0.010925761,0.49303806,0.007173303
1576422113480,2074183831623,-0.14021975,0.7607192,-0.023352506
1576422113500,2074203831623,-0.18118262,0.83393574,0.009459685
1576422113520,2074223831623,-0.22691025,0.7200007,0.055257123
1576422113540,2074243831623,-0.32627186,0.5877047,0.13053317
1576422113560,2074263831623,-0.38034216,0.47760934,0.1669931
1576422113579,2074283831623,-0.3649309,0.20804325,0.106883965
1576422113600,2074303831623,-0.3616846,-0.100478604,-0.009738937
1576422113619,2074323831623,-0.3917566,-0.30995303,-0.10698868
1576422113640,2074343831623,-0.49659854,-0.32705724,-0.052464597
1576422113660,2074363831623,-0.59098595,-0.072815135,0.022060962
1576422113680,2074383831623,-0.642351,0.15988961,0.033475414
1576422113700,2074403833186,-0.8049458,0.29873055,0.11648327
1576422113719,2074423833186,-1.0625564,0.38524652,0.0540703
1576422113740,2074443831623,-1.2300208,0.43444735,-0.1882163
1576422113759,2074463831623,-1.2556422,0.25579545,-0.18847811
1576422113780,2074483831623,-1.131654,0.29967302,-0.15674803
1576422113801,2074503831623,-0.8882155,0.30459487,-0.2637018
1576422113822,2074523831623,-0.6835582,0.66994464,-0.4296477
1576422113840,2074543833186,-0.55696946,1.3182646,-0.48792425
1576422113860,2074563831623,-0.37034142,1.6404175,-0.5199859
1576422113880,2074583831623,-0.06352998,1.2684181,-0.61515874
1576422113900,2074603831623,0.2701944,0.31745794,-0.61974895
1576422113921,2074623833186,0.53400093,-0.3992266,-0.49879766
1576422113940,2074643833186,0.50155526,-0.25206044,-0.42107815
1576422113960,2074663831623,0.2343279,0.34660494,-0.41837287
1576422113980,2074683831623,-0.052604225,0.87393874,-0.35882223
1576422114000,2074703833186,-0.257087,1.0902199,-0.24907593
1576422114020,2074723831623,-0.358351,0.83301073,-0.16022122
1576422114040,2074743831623,-0.31264082,0.41100758,-0.16189674
1576422114060,2074763833186,-0.18432422,0.0033161256,-0.22743386
1576422114079,2074783833186,-0.08119272,-0.10999065,-0.29883528
1576422114100,2074803833186,-0.096272364,0.01420698,-0.3357839
1576422114120,2074823831623,-0.18472564,0.17006488,-0.3642851
1576422114140,2074843831623,-0.2256187,0.27534315,-0.3331659
1576422114160,2074863831623,-0.19537215,0.34873423,-0.24579471
1576422114180,2074883831623,-0.14622368,0.3076841,-0.11810643
1576422114200,2074903831623,-0.09077457,0.13674654,-0.017976891
1576422114220,2074923831623,-0.09763372,-0.045291293,0.04139921
1576422114239,2074943831623,-0.17034413,-0.16959365,0.060231313
1576422114260,2074963831623,-0.20807815,-0.09025098,0.028955013
1576422114279,2074983831623,-0.16076228,0.10009463,0.045675267
1576422114300,2075003831623,-0.14617133,0.39957568,0.135455
1576422114320,2075023831623,-0.11128219,0.47122145,0.18191567
1576422114340,2075043831623,-0.0967436,0.1630661,0.0983144
1576422114359,2075063831623,-0.1256288,-0.13857915,-0.049619712
1576422114380,2075083831623,-0.1789137,-0.21165608,-0.14369296
1576422114400,2075103831623,-0.27462757,-0.07325147,-0.2700548
1576422114420,2075123831623,-0.4324228,0.31428143,-0.30689868
1576422114440,2075143831623,-0.6086836,0.87086695,-0.11960741
1576422114460,2075163831623,-0.67730993,1.0660646,0.08255407
1576422114480,2075183831623,-0.4830897,0.44080037,0.095539324
1576422114500,2075203831623,-0.24626596,-0.40699333,-0.112992615
1576422114519,2075223831623,-0.11590732,-0.6734178,-0.35728636
1576422114540,2075243831623,-0.055833083,-0.66687286,-0.42970005
1576422114559,2075263831623,-0.1251052,-0.50633746,-0.47155306
1576422114580,2075283831623,-0.3509508,-0.0832173,-0.2144486
1576422114599,2075303831623,-0.5377185,0.28939304,0.13102187
1576422114626,2075323833186,-0.5075243,0.23849924,0.28916615
1576422114640,2075343831623,-0.22598523,-0.162176,0.16728981
1576422114660,2075363831623,0.017941985,-0.43378413,-0.020402899
1576422114680,2075383831623,0.14226179,-0.51358056,-0.24980898
1576422114699,2075403833186,0.3261322,-0.20512855,-0.37568212
1576422114722,2075423833186,0.2915398,-0.107320294,-0.2844712
1576422114739,2075443831623,0.25949556,0.12980014,-0.21113248
1576422114760,2075463833186,0.24315926,0.282499,-0.17877407
1576422114780,2075483831623,0.23094197,0.13004448,-0.19174187
1576422114799,2075503831623,0.09855874,0.15687019,-0.098820545
