timeMillis,timeNanos,value
1576425579159,5539865791615,1022.62354
1576425579239,5539945790053,1022.61035
1576425579319,5540025790053,1022.60596
1576425579399,5540105790053,1022.6138
1576425579479,5540185816615,1022.6079
1576425579559,5540265791615,1022.625
1576425579639,5540345790053,1022.6157
1576425579719,5540425791615,1022.604
1576425579799,5540505791615,1022.6167
1576425579879,5540585790053,1022.6201
1576425579959,5540665790053,1022.61426
1576425580039,5540745790053,1022.6201
1576425580119,5540825790053,1022.6333
1576425580199,5540905790053,1022.64014
1576425580279,5540985790053,1022.626
1576425580359,5541065790053,1022.6133
1576425580439,5541145790053,1022.60156
1576425580519,5541225790053,1022.60986
1576425580600,5541305790053,1022.6079
1576425580679,5541385790053,1022.63135
1576425580759,5541465791615,1022.6382
1576425580839,5541545790053,1022.6079
1576425580919,5541625791615,1022.6094
1576425580999,5541705790053,1022.6201
1576425581079,5541785790053,1022.6221
1576425581159,5541865790053,1022.6416
1576425581239,5541945790053,1022.6494
1576425581319,5542025790053,1022.65186
1576425581399,5542105790053,1022.6221
1576425581479,5542185816615,1022.60205
1576425581559,5542265791615,1022.5957
1576425581639,5542345791615,1022.5996
1576425581719,5542425790053,1022.62305
1576425581799,5542505791615,1022.65283
1576425581879,5542585790053,1022.6338
1576425581960,5542665790053,1022.604
1576425582039,5542745790053,1022.6084
1576425582119,5542825790053,1022.59375
1576425582200,5542905790053,1022.58203
1576425582279,5542985790053,1022.6118
1576425582359,5543065790053,1022.63965
1576425582439,5543145790053,1022.6421
1576425582519,5543225791615,1022.6221
1576425582599,5543305791615,1022.6113
1576425582679,5543385790053,1022.58496
1576425582759,5543465790053,1022.59424
1576425582839,5543545791615,1022.624
1576425582919,5543625790053,1022.6499
1576425582999,5543705790053,1022.6489
1576425583079,5543785790053,1022.61865
1576425583159,5543865790053,1022.58887
1576425583239,5543945790053,1022.58203
1576425583319,5544025791615,1022.6011
1576425583399,5544105790053,1022.6294
1576425583479,5544185816615,1022.646
1576425583559,5544265790053,1022.65674
1576425583639,5544345790053,1022.62695
1576425583719,5544425790053,1022.5967
1576425583799,5544505790053,1022.58984
1576425583879,5544585790053,1022.6123
1576425583959,5544665790053,1022.63477
1576425584039,5544745790053,1022.66504
1576425584119,5544825790053,1022.6792
1576425584199,5544905790053,1022.6494
1576425584279,5544985790053,1022.61914
1576425584359,5545065790053,1022.6167
