,floor,timeMillis
0,-1,1573436369702
1,-3,1573436374098
2,3,1573436374946
3,2,1573436375703
4,7,1573436376243
5,8,1573436376634
6,6,1573436377156
7,1,1573436377521
8,-5,1573436377904
9,-4,1573436378172
10,-1,1573436592675
11,-5,1573436641322
12,-3,1573436697543
13,-5,1573436761147
14,-4,1573436800637
15,-4,1573436824769
16,-3,1573436878241
17,-5,1573436968224
18,-4,1573436995655
19,2,1573437011183
20,-4,1573437011954
21,-3,1573437067235
22,-5,1573437129148
