floor,timeMillis
-1,1574764501496
-5,1574764511146
-4,1574764528672
-4,1574764570619
7,1574764671974
-3,1574764679412
-5,1574764710022
7,1574764715068
2,1574764765014
-3,1574764771089
-5,1574764919238
2,1574765011052
-3,1574765017392
-5,1574765111668
-4,1574765117519
7,1574765201957
-3,1574765207785
-5,1574765327692
-4,1574765447580
-4,1574765535201
-3,1574765557186
-5,1574765593613
-4,1574765599374
2,1574765641769
-3,1574765645833
-5,1574765713036
2,1574765717113
-4,1574765755049
-3,1574765760176
-5,1574765797047
