timeMillis,timeNanos,value
1574385263106,1292282789722734,1023.7822
1574385263185,1292282869722734,1023.75684
1574385263266,1292282949722734,1023.7632
1574385263345,1292283029722734,1023.78076
1574385263425,1292283109722734,1023.8008
1574385263505,1292283189722734,1023.8047
1574385263586,1292283269722734,1023.7988
1574385263666,1292283349722734,1023.76855
1574385263746,1292283429722734,1023.7495
1574385263825,1292283509722734,1023.7451
1574385263906,1292283589722734,1023.75977
1574385263986,1292283669722734,1023.7871
1574385264066,1292283749722734,1023.7993
1574385264147,1292283829722734,1023.7876
1574385264227,1292283909722734,1023.76074
1574385264307,1292283989722734,1023.74414
1574385264386,1292284069722734,1023.73145
1574385264466,1292284149722734,1023.73535
1574385264546,1292284229722734,1023.75977
1574385264626,1292284309722734,1023.78467
1574385264749,1292284389722734,1023.791
1574385264804,1292284469722734,1023.76465
1574385264866,1292284549722734,1023.76025
1574385264946,1292284629722734,1023.73
1574385265025,1292284709722734,1023.7002
1574385265107,1292284789722734,1023.6968
1574385265186,1292284869722734,1023.72705
1574385265266,1292284949722734,1023.7544
1574385265346,1292285029722734,1023.7363
1574385265426,1292285109722734,1023.7329
1574385265506,1292285189722734,1023.7041
1574385265586,1292285269722734,1023.71094
1574385265666,1292285349722734,1023.7158
1574385265746,1292285429722734,1023.71533
1574385265825,1292285509722734,1023.7368
1574385265905,1292285589722734,1023.7529
1574385265986,1292285669722734,1023.7295
1574385266065,1292285749722734,1023.71484
1574385266146,1292285829722734,1023.68506
1574385266227,1292285909722734,1023.6553
1574385266307,1292285989722734,1023.6743
1574385266387,1292286069722734,1023.69385
1574385266465,1292286149722734,1023.7051
1574385266546,1292286229722734,1023.71045
1574385266625,1292286309722734,1023.70264
1574385266705,1292286389722734,1023.67236
1574385266785,1292286469722734,1023.65234
1574385266865,1292286549722734,1023.65283
1574385266946,1292286629722734,1023.6616
1574385267025,1292286709722734,1023.68555
1574385267106,1292286789722734,1023.7114
1574385267185,1292286869722734,1023.68555
1574385267265,1292286949722734,1023.6797
1574385267345,1292287029722734,1023.6577
1574385267425,1292287109722734,1023.647
1574385267506,1292287189722734,1023.63574
1574385267586,1292287269722734,1023.6406
1574385267666,1292287349722734,1023.66016
1574385267745,1292287429722734,1023.6631
1574385267825,1292287509722734,1023.66846
1574385267906,1292287589722734,1023.6714
1574385267990,1292287669722734,1023.6489
1574385268065,1292287749722734,1023.62256
1574385268146,1292287829722734,1023.62305
1574385268226,1292287909722734,1023.6201
1574385268306,1292287989722734,1023.6338
1574385268386,1292288069722734,1023.6553
1574385268466,1292288149722734,1023.6699
