timeMillis,timeNanos,value
1574764501564,414277299478,1023.4321
1574764501643,414357299478,1023.4292
1574764501723,414437299478,1023.4336
1574764501803,414517299478,1023.4219
1574764501884,414597299478,1023.41016
1574764501963,414677299478,1023.4175
1574764502043,414757299478,1023.44775
1574764502123,414837299478,1023.46094
1574764502203,414917299478,1023.45996
1574764502283,414997299478,1023.4844
1574764502363,415077299478,1023.47705
1574764502443,415157299478,1023.46045
1574764502523,415237299478,1023.4492
1574764502604,415317299478,1023.43945
1574764502683,415397299478,1023.4287
1574764502763,415477299478,1023.4219
1574764502843,415557299478,1023.4404
1574764502924,415637299478,1023.4536
1574764503003,415717299478,1023.4346
1574764503083,415797299478,1023.43506
1574764503163,415877299478,1023.4126
1574764503243,415957299478,1023.3823
1574764503323,416037299478,1023.3794
1574764503403,416117299478,1023.3926
1574764503483,416197299478,1023.40576
1574764503564,416277299478,1023.43066
1574764503644,416357299478,1023.416
1574764503724,416437299478,1023.40186
1574764503803,416517299478,1023.42725
1574764503885,416597299478,1023.43506
1574764503964,416677299478,1023.42236
1574764504043,416757299478,1023.4238
1574764504123,416837299478,1023.4219
1574764504204,416917299478,1023.4326
1574764504283,416997299478,1023.43994
1574764504363,417077299478,1023.4341
1574764504444,417157299478,1023.4429
1574764504523,417237299478,1023.44775
1574764504603,417317299478,1023.41943
1574764504683,417397299478,1023.43115
1574764504764,417477299478,1023.4302
1574764504843,417557299478,1023.4458
1574764504923,417637299478,1023.44385
1574764505003,417717299478,1023.437
1574764505083,417797299478,1023.4243
1574764505163,417877299478,1023.42334
1574764505243,417957299478,1023.4414
1574764505329,418037299478,1023.4429
1574764505404,418117299478,1023.42236
1574764505484,418197299478,1023.4409
1574764505564,418277299478,1023.46045
1574764505644,418357299478,1023.437
1574764505746,418437299478,1023.4375
1574764505803,418517299478,1023.43115
1574764505883,418597299478,1023.416
1574764505963,418677299478,1023.4204
1574764506043,418757299478,1023.4165
1574764506123,418837299478,1023.41797
1574764506203,418917299478,1023.44824
1574764506284,418997299478,1023.44824
1574764506363,419077299478,1023.41797
1574764506443,419157299478,1023.4004
1574764506523,419237299478,1023.39014
1574764506603,419317299478,1023.3916
1574764506683,419397299478,1023.3989
1574764506763,419477299478,1023.40576
1574764506843,419557299478,1023.40967
1574764506923,419637299478,1023.4131
1574764507003,419717299478,1023.417
1574764507085,419797299478,1023.4326
1574764507163,419877299478,1023.4336
1574764507243,419957299478,1023.4326
1574764507324,420037299478,1023.4238
1574764507403,420117299478,1023.4165
1574764507483,420197299478,1023.4238
1574764507564,420277299478,1023.43896
1574764507643,420357299478,1023.42236
1574764507734,420437299478,1023.43066
1574764507803,420517299478,1023.43506
1574764507883,420597299478,1023.4453
1574764507963,420677299478,1023.4663
1574764508043,420757299478,1023.47217
1574764508124,420837299478,1023.4419
1574764508204,420917299478,1023.4121
1574764508283,420997299478,1023.3887
1574764508364,421077299478,1023.41406
1574764508444,421157299478,1023.44336
1574764508525,421237299478,1023.4175
1574764508604,421317299478,1023.4238
1574764508684,421397299478,1023.43896
1574764508763,421477299478,1023.4258
1574764508843,421557299478,1023.3955
1574764508924,421637299478,1023.39795
1574764509004,421717299478,1023.4155
1574764509083,421797297915,1023.4375
1574764509163,421877299478,1023.46533
1574764509243,421957299478,1023.46875
1574764509323,422037299478,1023.4961
1574764509403,422117299478,1023.4756
1574764509484,422197299478,1023.4458
1574764509563,422277299478,1023.4155
1574764509644,422357299478,1023.3916
1574764509748,422437299478,1023.4038
1574764509804,422517299478,1023.40137
1574764509883,422597299478,1023.4282
1574764509964,422677299478,1023.44824
1574764510044,422757299478,1023.4487
1574764510123,422837299478,1023.41846
1574764510203,422917299478,1023.3887
1574764510283,422997299478,1023.3784
1574764510363,423077299478,1023.3867
1574764510443,423157299478,1023.39453
1574764510523,423237299478,1023.3989
1574764510603,423317299478,1023.40186
1574764510683,423397299478,1023.4155
1574764510763,423477299478,1023.4082
1574764510844,423557299478,1023.3887
1574764510942,423637299478,1023.38916
1574764511004,423717299478,1023.39746
1574764511083,423797299478,1023.3994
1574764511163,423877299478,1023.4243
1574764511243,423957299478,1023.3994
1574764511323,424037299478,1023.39307
1574764511403,424117299478,1023.39746
1574764511483,424197299478,1023.3999
1574764511564,424277299478,1023.4155
1574764511644,424357297915,1023.4043
1574764511732,424437297915,1023.3882
1574764511803,424517299478,1023.38574
1574764511884,424597299478,1023.3916
1574764511963,424677299478,1023.3916
1574764512043,424757299478,1023.40137
1574764512123,424837297915,1023.39307
1574764512204,424917297915,1023.3916
1574764512284,424997297915,1023.37256
1574764512363,425077297915,1023.3574
1574764512443,425157297915,1023.3506
1574764512524,425237299478,1023.353
1574764512603,425317299478,1023.35156
1574764512683,425397299478,1023.3462
1574764512763,425477299478,1023.33545
1574764512844,425557299478,1023.32715
1574764512923,425637299478,1023.35693
1574764513004,425717299478,1023.355
1574764513084,425797297915,1023.3247
1574764513163,425877297915,1023.31006
1574764513243,425957297915,1023.29834
1574764513325,426037299478,1023.2993
1574764513403,426117299478,1023.31396
1574764513483,426197299478,1023.3086
1574764513563,426277299478,1023.31006
1574764513644,426357299478,1023.32764
1574764513758,426437299478,1023.3384
1574764513804,426517299478,1023.3452
1574764513884,426597299478,1023.33105
1574764513964,426677299478,1023.3203
1574764514043,426757299478,1023.31836
1574764514123,426837299478,1023.3262
1574764514203,426917299478,1023.3296
1574764514283,426997299478,1023.333
1574764514363,427077299478,1023.33594
1574764514443,427157299478,1023.354
1574764514523,427237299478,1023.3657
1574764514738,427437299478,1023.3242
1574764514923,427637299478,1023.3467
1574764515123,427837299478,1023.3584
1574764515323,428037299478,1023.31445
1574764515523,428237297915,1023.34033
1574764515745,428437297915,1023.354
1574764515924,428637299478,1023.32227
1574764516124,428837299478,1023.3125
1574764516323,429037299478,1023.33936
1574764516523,429237299478,1023.31836
1574764516737,429437299478,1023.31104
1574764516923,429637299478,1023.3423
1574764517123,429837299478,1023.30176
1574764517323,430037299478,1023.3076
1574764517523,430237299478,1023.3325
1574764517724,430437299478,1023.3008
1574764517923,430637297915,1023.29785
1574764518123,430837299478,1023.3042
1574764518323,431037299478,1023.3252
1574764518523,431237297915,1023.30566
1574764518736,431437299478,1023.34033
1574764518923,431637299478,1023.35254
1574764519123,431837297915,1023.3262
1574764519323,432037297915,1023.38184
1574764519523,432237297915,1023.4121
1574764519724,432437297915,1023.3833
1574764519923,432637299478,1023.37646
1574764520123,432837297915,1023.35596
1574764520323,433037299478,1023.39355
1574764520523,433237299478,1023.396
1574764520723,433437297915,1023.3911
1574764520923,433637299478,1023.39795
1574764521123,433837299478,1023.38135
1574764521324,434037299478,1023.3467
1574764521525,434237297915,1023.3252
1574764521723,434437299478,1023.32715
1574764521923,434637299478,1023.333
1574764522123,434837297915,1023.3491
1574764522323,435037299478,1023.33545
1574764522523,435237297915,1023.2876
1574764522723,435437297915,1023.3169
1574764522924,435637299478,1023.38574
1574764523123,435837297915,1023.31055
1574764523323,436037297915,1023.3042
1574764523523,436237297915,1023.35693
1574764523724,436437297915,1023.2925
1574764523923,436637299478,1023.3042
1574764524123,436837297915,1023.30664
1574764524323,437037297915,1023.3164
1574764524523,437237297915,1023.29443
1574764524723,437437297915,1023.31836
1574764524924,437637299478,1023.2988
1574764525124,437837299478,1023.3096
1574764525324,438037299478,1023.33594
1574764525524,438237299478,1023.291
1574764525723,438437299478,1023.2788
1574764525923,438637299478,1023.32764
1574764526124,438837299478,1023.29346
1574764526323,439037299478,1023.29785
1574764526523,439237297915,1023.3052
1574764526723,439437297915,1023.31396
1574764526923,439637299478,1023.2759
1574764527123,439837297915,1023.3369
1574764527323,440037299478,1023.3213
1574764527523,440237299478,1023.3159
1574764527723,440437297915,1023.3174
1574764527924,440637299478,1023.29346
1574764528124,440837299478,1023.2842
1574764528324,441037299478,1023.3032
1574764528548,441237299478,1023.34326
1574764528723,441437299478,1023.3423
1574764528924,441637299478,1023.3008
1574764529123,441837299478,1023.3213
1574764529323,442037299478,1023.3281
1574764529524,442237299478,1023.313
1574764529724,442437299478,1023.3159
1574764529923,442637299478,1023.29297
1574764530123,442837299478,1023.29297
1574764530323,443037299478,1023.3081
1574764530523,443237299478,1023.2988
1574764530723,443437299478,1023.3047
1574764530923,443637297915,1023.312
1574764531124,443837297915,1023.33936
1574764531323,444037297915,1023.33594
1574764531523,444237299478,1023.32666
1574764531725,444437297915,1023.3418
1574764531923,444637297915,1023.34814
1574764532124,444837297915,1023.3242
1574764532323,445037297915,1023.3511
1574764532524,445237299478,1023.3262
1574764532725,445437299478,1023.33105
1574764532924,445637299478,1023.3208
1574764533123,445837299478,1023.3281
1574764533323,446037299478,1023.31885
1574764533523,446237299478,1023.33203
1574764533723,446437299478,1023.3301
1574764533923,446637299478,1023.3325
1574764534123,446837299478,1023.3301
1574764534324,447037299478,1023.31006
1574764534523,447237299478,1023.3262
1574764534723,447437299478,1023.33545
1574764534923,447637299478,1023.3447
1574764535123,447837299478,1023.34766
1574764535323,448037299478,1023.34033
1574764535523,448237297915,1023.3379
1574764535723,448437297915,1023.3257
1574764535923,448637297915,1023.32227
1574764536123,448837297915,1023.3208
1574764536323,449037297915,1023.3086
