timeMillis,timeNanos,value
1574820282966,56195680168866,1023.32324
1574820283046,56195760168866,1023.31836
1574820283126,56195840168866,1023.3208
1574820283206,56195920168866,1023.3213
1574820283405,56196000168866,1023.30566
1574820283405,56196080168866,1023.30225
1574820283446,56196160168866,1023.3086
1574820283526,56196240168866,1023.313
1574820283606,56196320168866,1023.3052
1574820283686,56196400168866,1023.3013
1574820283766,56196480168866,1023.3037
1574820283848,56196560168866,1023.3071
1574820283926,56196640168866,1023.30664
1574820284007,56196720168866,1023.2998
1574820284093,56196800168866,1023.31006
1574820284166,56196880168866,1023.2964
1574820284246,56196960168866,1023.2964
1574820284326,56197040168866,1023.3032
1574820284406,56197120168866,1023.3052
1574820284486,56197200168866,1023.3203
1574820284566,56197280168866,1023.3247
1574820284646,56197360168866,1023.3135
1574820284726,56197440168866,1023.313
1574820284806,56197520168866,1023.3008
1574820284886,56197600168866,1023.2998
1574820284966,56197680168866,1023.31104
1574820285049,56197760168866,1023.3125
1574820285126,56197840168866,1023.31885
1574820285206,56197920168866,1023.3125
1574820285288,56198000168866,1023.3252
1574820285367,56198080168866,1023.313
1574820285447,56198160168866,1023.3086
1574820285526,56198240168866,1023.3047
1574820285607,56198320168866,1023.3164
1574820285686,56198400168866,1023.3115
1574820285766,56198480168866,1023.3286
1574820285846,56198560168866,1023.313
1574820285926,56198640168866,1023.3047
1574820286007,56198720168866,1023.3164
1574820286089,56198800168866,1023.32275
1574820286166,56198880168866,1023.3291
1574820286246,56198960168866,1023.3286
1574820286326,56199040168866,1023.333
1574820286409,56199120168866,1023.3335
1574820286486,56199200168866,1023.31494
1574820286566,56199280168866,1023.3198
1574820286647,56199360168866,1023.3242
1574820286726,56199440168866,1023.3208
1574820286807,56199520168866,1023.31104
1574820286886,56199600168866,1023.312
1574820286967,56199680168866,1023.3042
1574820287048,56199760168866,1023.30566
1574820287128,56199840168866,1023.3115
1574820287207,56199920168866,1023.31836
1574820287292,56200000168866,1023.31055
1574820287366,56200080168866,1023.3218
1574820287446,56200160168866,1023.3213
1574820287526,56200240168866,1023.31934
1574820287606,56200320168866,1023.312
1574820287687,56200400168866,1023.29785
1574820287766,56200480168866,1023.2998
1574820287847,56200560168866,1023.29736
1574820287926,56200640168866,1023.28955
1574820288006,56200720168866,1023.2964
1574820288221,56200800168866,1023.3076
1574820288222,56200880168866,1023.31836
1574820288246,56200960168866,1023.3301
1574820288333,56201040168866,1023.33154
1574820288406,56201120168866,1023.33496
1574820288486,56201200168866,1023.3281
1574820288566,56201280168866,1023.3179
1574820288646,56201360168866,1023.3081
1574820288726,56201440168866,1023.3081
1574820288806,56201520168866,1023.3013
1574820288886,56201600168866,1023.3052
1574820288966,56201680168866,1023.30176
1574820289046,56201760168866,1023.30176
1574820289126,56201840168866,1023.2964
1574820289206,56201920168866,1023.2949
1574820289286,56202000168866,1023.30566
1574820289366,56202080168866,1023.30664
1574820289446,56202160168866,1023.29736
1574820289528,56202240168866,1023.292
1574820289608,56202320168866,1023.29736
1574820289686,56202400168866,1023.29736
1574820289767,56202480168866,1023.3071
1574820289846,56202560168866,1023.3086
1574820289926,56202640168866,1023.2988
1574820290006,56202720168866,1023.2993
1574820290086,56202800168866,1023.31104
1574820290166,56202880168866,1023.3037
1574820290246,56202960168866,1023.2988
1574820290326,56203040168866,1023.3091
1574820290406,56203120168866,1023.312
1574820290486,56203200168866,1023.2959
1574820290566,56203280168866,1023.30176
1574820290646,56203360168866,1023.30566
1574820290726,56203440168866,1023.2964
1574820290810,56203520168866,1023.3008
1574820290886,56203600168866,1023.2881
1574820290966,56203680168866,1023.291
1574820291046,56203760168866,1023.2959
1574820291136,56203840168866,1023.29004
1574820291206,56203920168866,1023.29736
1574820291287,56204000168866,1023.2959
1574820291371,56204080168866,1023.3013
1574820291447,56204160168866,1023.3032
1574820291526,56204240168866,1023.29736
1574820291606,56204320168866,1023.29785
1574820291686,56204400168866,1023.31055
1574820291766,56204480168866,1023.3003
1574820291846,56204560168866,1023.29297
1574820291926,56204640168866,1023.2925
1574820292008,56204720168866,1023.2798
1574820292096,56204800168866,1023.2793
1574820292166,56204880168866,1023.28955
1574820292246,56204960168866,1023.2881
1574820292326,56205040168866,1023.2949
1574820292407,56205120168866,1023.2905
1574820292486,56205200168866,1023.2905
1574820292566,56205280168866,1023.28906
1574820292646,56205360168866,1023.2954
1574820292726,56205440168866,1023.28564
1574820292806,56205520168866,1023.2905
1574820292886,56205600168866,1023.3013
1574820292966,56205680168866,1023.3091
1574820293046,56205760168866,1023.30273
1574820293126,56205840168866,1023.2993
1574820293209,56205920168866,1023.3013
1574820293286,56206000231366,1023.2871
1574820293366,56206080168866,1023.29004
1574820293446,56206160168866,1023.2876
1574820293526,56206240168866,1023.29834
1574820293606,56206320168866,1023.29346
1574820293687,56206400168866,1023.2842
1574820293766,56206480168866,1023.2827
1574820293848,56206560168866,1023.2788
1574820293926,56206640168866,1023.28174
1574820294006,56206720168866,1023.291
1574820294088,56206800168866,1023.29834
1574820294166,56206880168866,1023.3042
1574820294246,56206960168866,1023.30273
1574820294328,56207040168866,1023.30615
1574820294406,56207120168866,1023.30176
1574820294486,56207200168866,1023.3008
1574820294566,56207280168866,1023.30225
1574820294646,56207360168866,1023.30273
1574820294726,56207440168866,1023.292
1574820294806,56207520168866,1023.2993
1574820294886,56207600168866,1023.29736
1574820295034,56207680168866,1023.2949
1574820295046,56207760168866,1023.2993
1574820295126,56207840168866,1023.31055
1574820295206,56207920168866,1023.30566
1574820295286,56208000168866,1023.2969
1574820295366,56208080170429,1023.29395
1574820295446,56208160168866,1023.29443
1574820295526,56208240168866,1023.3013
1574820295606,56208320168866,1023.291
1574820295686,56208400168866,1023.2959
1574820295766,56208480168866,1023.29736
1574820295846,56208560168866,1023.2998
1574820295926,56208640168866,1023.2964
1574820296007,56208720168866,1023.292
1574820296104,56208800168866,1023.2837
