floor,timeMillis
-1,1576422909134
-5,1576422922898
-4,1576422929010
-4,1576422939566
-4,1576422986552
2,1576423064650
-3,1576423071018
-5,1576423091581
7,1576423096436
2,1576423125659
-3,1576423130126
-5,1576423190906
7,1576423197943
-4,1576423304360
-3,1576423310085
-5,1576423342306
-4,1576423347272
2,1576423387784
-3,1576423390936
-5,1576423412663
7,1576423417354
-4,1576423458347
-3,1576423464362
-5,1576423498886
-4,1576423504157
7,1576423580995
-3,1576423586001
