timestamps,Freq. Max. Amp-x,Freq. Max. Amp-y,Freq. Max. Amp-z,Power Spec. Entropy-x,Power Spec. Entropy-y,Power Spec. Entropy-z,Weighted Avg. Amp-x,Weighted Avg. Amp-y,Weighted Avg. Amp-z,Weighted Avg. Energy-x,Weighted Avg. Energy-y,Weighted Avg. Energy-z,rss-2GHZ-MAX,rss-2GHZ-MEAN,rss-2GHZ-MIN,rss-2GHZ-STD,rss-5GHZ-MAX,rss-5GHZ-MEAN,rss-5GHZ-MIN,rss-5GHZ-STD,accuracy,satellites
1574385252822.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.8139584819195136,0.39289013055978894,0.30588215007738045,1.8787613867445174,3.9169726859016323,2.8161005889144404,1.0996225670945923,0.905401921976502,0.8561181564486177,-67.0,-86.6,-94.0,6.627216610312355,-87.0,-89.33333333333333,-93.0,2.6246692913372702,20.0,25.0
1574385253322.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.7774371155385649,0.4171625192430145,0.27952540253521674,2.537347355850524,2.6350216252276506,2.4680746838840126,1.10548052380558,0.8925259506151298,0.846622645833109,,,,,,,,,20.0,25.0
1574385253822.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.7648452480146394,0.3044575610159974,0.10869096497897344,3.3700110470858355,2.416517075735469,3.0913538164665217,1.0970410309808307,0.8534962571170309,0.8123129295712604,,,,,,,,,20.0,25.0
1574385254322.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.5900407756757013,0.1464101557507122,0.22380708153720894,2.747106427900394,3.048879855052619,3.230397614248655,0.9724101710029496,0.8340709506299586,0.8358292740031438,,,,,,,,,20.0,24.0
1574385254822.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.9064961308773265,0.4253451467728601,0.2846739494567951,3.713615845132682,2.482708037595307,2.7482363909729357,1.2550774349356117,0.8951820720591167,0.8488146272994197,,,,,,,,,20.0,24.0
1574385255322.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.9331267993017749,0.42188891105334525,0.24403901714319448,2.254095684065157,3.09953443749345,2.7172210490012905,1.1623909262313334,0.905646854713747,0.8376312949243668,,,,,,,,,20.0,24.0
1574385255822.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.9493723106077472,0.500743035959324,0.2640549885866516,2.3725893758693726,2.1925603884926668,2.4437806808231612,1.2287186073383898,0.9256202070464485,0.8443219905267855,,,,,,,,,20.0,24.0
1574385256322.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.7886368866538649,0.47663349637156605,0.16597965091984346,3.838398292122219,2.8408124292124084,2.889185754369655,1.1108084034969208,0.9422530247109365,0.8372184803938132,-74.0,-85.52631578947368,-95.0,5.575967426589064,-92.0,-92.0,-92.0,0.0,20.0,23.0
1574385256822.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.5892023922358083,0.3111303858688719,0.27337779450125155,2.5082793713084426,3.2986913087699357,3.140022153191128,0.9697706466123442,0.8771535903067864,0.8531050982103068,-74.0,-85.52631578947368,-95.0,5.575967426589064,-92.0,-92.0,-92.0,0.0,20.0,23.0
1574385257322.0,0.7823285954003731,0.7823285954003731,0.7823285954003731,0.861303263762823,0.657354835880779,0.28271409287512056,2.082361619455532,2.085514516885447,2.824825861938496,1.1449673801650753,0.9959527520342921,0.8499427929782384,,,,,,,,,20.0,25.0
