,timestamps,Freq. Max. Amp-x,Freq. Max. Amp-y,Freq. Max. Amp-z,Power Spec. Entropy-x,Power Spec. Entropy-y,Power Spec. Entropy-z,Weighted Avg. Amp-x,Weighted Avg. Amp-y,Weighted Avg. Amp-z,Weighted Avg. Energy-x,Weighted Avg. Energy-y,Weighted Avg. Energy-z,rss-2GHZ-MAX,rss-2GHZ-MEAN,rss-2GHZ-MIN,rss-2GHZ-STD,rss-5GHZ-MAX,rss-5GHZ-MEAN,rss-5GHZ-MIN,rss-5GHZ-STD,accuracy,satellites,label
860,1574764934287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.29669035608968,1.1475374071016304,1.0735672302991368,3.347260409972596,1.6097080749425987,1.786913839339605,0.8444397633080652,0.7236540173354341,0.6930026255228698,-42.0,-73.92307692307692,-96.0,20.044034364605032,-40.0,-69.5,-95.0,20.81122636600599,,,IN
861,1574764934787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.1375196634969778,1.3571192291879737,1.1103038340383344,1.5824017993896824,1.665421294391463,1.7335919620923124,0.7246317501066285,0.8379473922535551,0.7101101338701977,-42.0,-73.92307692307692,-96.0,20.044034364605032,-40.0,-69.5,-95.0,20.81122636600599,,,IN
862,1574764935287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.0467503402968241,1.3821302239026512,1.0673103050648804,1.5850111234349369,2.0402083927681582,1.547219234203828,0.6824406989217582,0.8566892002206349,0.6931370349178184,,,,,,,,,,,IN
863,1574764935787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,0.9828387338188976,1.1234731890357519,0.9868541405749738,2.2064201752633847,1.7588675177357318,1.7436604564285894,0.6634252277496921,0.7151604163498402,0.6587549908090767,,,,,,,,,,,IN
864,1574764936287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.1976159494233076,0.9914976207710952,1.0075051832904425,1.3905533580651463,1.7893458724931708,1.7716698574557572,0.7524814470655583,0.6581857235420147,0.6632037220754594,,,,,,,,,,,IN
865,1574764936787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,0.9751333944253572,1.105000188691564,1.1200504914518912,2.4371952792381717,1.8542696287727487,1.6366037228439594,0.6668883526319549,0.7010004826143492,0.7111984144963153,,,,,,,,,,,IN
866,1574764937287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.067603847653961,1.2700928257140445,1.118921406868308,1.4306768210387837,1.684263045271853,1.6559936022997737,0.6928130205930918,0.7860514643386569,0.7137332705866041,,,,,,,,,,,IN
867,1574764937787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.2908802221096538,1.3042352286846821,1.0948237041903677,1.9271631983889392,1.7213212486813527,1.5195813850798576,0.7917980843699625,0.8076295610421554,0.7045707737877696,,,,,,,,,,,IN
868,1574764938287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.0886841244590244,1.2412690317654589,0.9746075728526036,1.9936948343106524,1.6306868192027746,1.796654899293581,0.7016271291176059,0.7733867475599474,0.6554336253572213,-43.0,-71.08333333333333,-95.0,18.039116447936753,-43.0,-72.77777777777777,-94.0,18.5937730184524,,,IN
869,1574764938787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.3054996588284369,1.1284138027449522,0.9896305474059724,1.5267534255090818,2.018749100168541,1.724968022905751,0.8061982990981622,0.7310842782104255,0.6573005438469463,-43.0,-71.08333333333333,-95.0,18.039116447936753,-43.0,-72.77777777777777,-94.0,18.5937730184524,,,IN
870,1574764939287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.0995732040988513,1.1251536198721008,1.0755556393292272,2.164715408709553,1.7701131817044764,1.6712421560180777,0.7120568112047646,0.7103737675774209,0.6900693301454386,,,,,,,,,,,IN
871,1574764939787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.156426616050414,1.2318330318071826,1.0970326255128096,1.3031896971471024,1.987379119051172,1.7768765003120046,0.7320446398670142,0.7614507473949664,0.7011297924550025,,,,,,,,,,,IN
872,1574764940287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,0.9922462101816272,1.243721913583168,1.1228981983864996,2.3503380310112814,1.7190729169703631,1.5949844887966245,0.6653061745811747,0.7732187926659914,0.7154596590949395,,,,,,,,,,,IN
873,1574764940787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.0946591349772392,1.2794467470402435,1.0776737354749717,1.4851358730093855,1.5943390938283943,1.5946725367947188,0.7059568243837084,0.793661108566585,0.6974976909871402,,,,,,,,,,,IN
874,1574764941287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.2404568459093133,1.2555491151597993,0.9879783799890806,1.8025394148258893,1.7307083434339843,1.6793008088239232,0.7655279834647144,0.7778402602383298,0.6600392901700443,,,,,,,,,,,IN
875,1574764941787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.059587028656065,1.0477212163466982,1.0938344468041905,2.149136095615789,1.9824281745169707,1.7929602889237624,0.6931443300010965,0.6901787918718573,0.7012286276539045,-38.0,-74.0,-97.0,19.664838731933227,-44.0,-73.66666666666667,-96.0,20.48576741707927,,,IN
876,1574764942287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.1893526711315352,1.1561370160368187,1.0403858511772284,1.5584628945917502,2.2200876084634165,1.7282173559070313,0.7457594753460847,0.7521775840308272,0.6752704996477885,-38.0,-74.0,-97.0,19.664838731933227,-44.0,-73.66666666666667,-96.0,20.48576741707927,,,IN
877,1574764942787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,0.8840207037770175,1.0925769185925065,1.0891136115069118,2.375651018066414,1.9160458989038287,1.5607240307285246,0.6263961893209,0.6957421295025806,0.6978692935509329,,,,,,,,,,,IN
878,1574764943287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.0915483234314074,1.228912302686774,1.0991820626030198,1.4521709761404815,1.6969660223950214,1.68154925157644,0.7035421420888052,0.7637180922221289,0.7052544310104618,,,,,,,,,,,IN
879,1574764943787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.007915842469167,1.2386719287942345,1.0621147788454466,1.6654602289538427,1.585565821283678,1.5447139118428586,0.6675014440443848,0.7728807547920072,0.6910312044293941,,,,,,,,,,,IN
