timeMillis,timeNanos,value
1576422923380,2884087440623,1022.90674
1576422923460,2884167440623,1022.9365
1576422923540,2884247440623,1022.92236
1576422923621,2884327440623,1022.8921
1576422923700,2884407440623,1022.8623
1576422923781,2884487440623,1022.8428
1576422923861,2884567440623,1022.8545
1576422923941,2884647440623,1022.87256
1576422924021,2884727440623,1022.8955
1576422924101,2884807440623,1022.8804
1576422924180,2884887440623,1022.8701
1576422924261,2884967440623,1022.89404
1576422924340,2885047440623,1022.8745
1576422924420,2885127440623,1022.8716
1576422924500,2885207440623,1022.86475
1576422924580,2885287440623,1022.85254
1576422924660,2885367440623,1022.8579
1576422924741,2885447440623,1022.8589
1576422924822,2885527440623,1022.8799
1576422924901,2885607440623,1022.8799
1576422924980,2885687440623,1022.87305
1576422925061,2885767440623,1022.8613
1576422925141,2885847442186,1022.855
1576422925220,2885927440623,1022.8535
1576422925300,2886007440623,1022.8511
1576422925382,2886087442186,1022.88086
1576422925460,2886167440623,1022.8779
1576422925540,2886247440623,1022.84814
1576422925620,2886327440623,1022.854
1576422925700,2886407442186,1022.8838
1576422925781,2886487442186,1022.91406
1576422925861,2886567440623,1022.9292
1576422925940,2886647442186,1022.8989
1576422926020,2886727440623,1022.86914
1576422926100,2886807440623,1022.83887
1576422926180,2886887440623,1022.8296
1576422926281,2886967442186,1022.8423
1576422926340,2887047440623,1022.83594
1576422926420,2887127440623,1022.8662
1576422926500,2887207440623,1022.88574
1576422926580,2887287440623,1022.90674
1576422926660,2887367440623,1022.89355
1576422926740,2887447440623,1022.87305
1576422926821,2887527442186,1022.85547
1576422926900,2887607440623,1022.8755
1576422926980,2887687440623,1022.8696
1576422927060,2887767442186,1022.84375
1576422927141,2887847442186,1022.82764
1576422927220,2887927440623,1022.8574
1576422927300,2888007440623,1022.8877
1576422927395,2888087440623,1022.9155
1576422927460,2888167440623,1022.9121
1576422927540,2888247440623,1022.8823
1576422927621,2888327440623,1022.8545
1576422927700,2888407440623,1022.85693
1576422927780,2888487440623,1022.8696
1576422927861,2888567442186,1022.8721
1576422927941,2888647440623,1022.90186
