timeMillis,timeNanos,x,y,z
1576422909185,2869882982186,-0.54109997,3.4224,9.1741
1576422909205,2869902980623,-0.479,3.4178998,9.1792
1576422909225,2869922980623,-0.4211,3.4168,9.1824
1576422909245,2869942980623,-0.37199998,3.4141,9.185599
1576422909265,2869962982186,-0.331,3.4171999,9.186
1576422909285,2869982982186,-0.2909,3.4350998,9.180699
1576422909303,2870002980623,-0.2525,3.478,9.1656
1576422909325,2870022980623,-0.20889999,3.5451999,9.141
1576422909343,2870042980623,-0.15619999,3.6292999,9.1089
1576422909365,2870062980623,-0.0884,3.7285,9.0697
1576422909385,2870082980623,0.0082,3.8467999,9.020599
1576422909403,2870102980623,0.12789999,3.9889998,8.9577
1576422909425,2870122980623,0.2553,4.1502,8.8814
1576422909443,2870142980623,0.35959998,4.295,8.8087
1576422909465,2870162980623,0.3955,4.3782,8.7661
1576422909484,2870182980623,0.3742,4.3352,8.7883
1576422909504,2870202980623,0.2644,4.1261997,8.8923
1576422909525,2870222980623,0.1121,3.8118,9.034699
1576422909545,2870242980623,0.024899999,3.5267,9.1504
1576422909565,2870262980623,0.109299995,3.3502,9.215899
1576422909583,2870282980623,0.24509999,3.2459,9.2506
1576422909605,2870302980623,0.3376,3.1713998,9.2734995
1576422909624,2870322980623,0.4297,3.1008,9.2935
1576422909643,2870342980623,0.5061,3.0289998,9.3133
1576422909665,2870362980623,0.4987,2.9382,9.3428
1576422909684,2870382980623,0.4434,2.8444,9.374499
1576422909705,2870402980623,0.3689,2.787,9.3949995
1576422909724,2870422980623,0.2979,2.799,9.3939
1576422909752,2870442980623,0.265,2.8788998,9.3708
1576422909765,2870462980623,0.2757,2.9903998,9.3355
1576422909786,2870482982186,0.29279998,3.0800998,9.305699
1576422909804,2870502980623,0.3166,3.1148999,9.2933
1576422909824,2870522980623,0.36319998,3.0853999,9.301499
1576422909844,2870542982186,0.4335,3.0112,9.3228
1576422909864,2870562982186,0.5104,2.9403,9.341499
1576422909885,2870582980623,0.5862,2.8808,9.355599
1576422909905,2870602980623,0.6411,2.8244,9.3691
1576422909923,2870622980623,0.6892,2.7819998,9.3784
1576422909945,2870642980623,0.7475,2.7482,9.3839
1576422909963,2870662980623,0.78099996,2.7075,9.393
1576422909985,2870682982186,0.77599996,2.6734,9.4032
1576422910005,2870702980623,0.76589996,2.6669,9.4059
1576422910025,2870722980623,0.76489997,2.6841,9.401
1576422910044,2870742982186,0.7539,2.7238,9.3905
1576422910065,2870762982186,0.7601,2.7684,9.377
1576422910085,2870782980623,0.783,2.7849,9.3702
1576422910104,2870802980623,0.7884,2.7561998,9.3782
1576422910124,2870822982186,0.768,2.707,9.394199
1576422910144,2870842982186,0.7718,2.665,9.4059
1576422910165,2870862980623,0.8049,2.635,9.4116
1576422910185,2870882980623,0.8598,2.6046999,9.4152
1576422910203,2870902980623,0.88799995,2.5541,9.4264
1576422910225,2870922980623,0.87409997,2.4856,9.446
1576422910243,2870942980623,0.8393,2.4083998,9.4691
1576422910264,2870962980623,0.78169996,2.324,9.4951
1576422910285,2870982980623,0.70879996,2.2352998,9.5220995
1576422910305,2871002980623,0.65029997,2.1650999,9.5425
1576422910324,2871022980623,0.6274,2.1334999,9.5511
1576422910344,2871042980623,0.638,2.1487,9.547
1576422910365,2871062982186,0.5945,2.2036998,9.5373
1576422910383,2871082980623,0.565,2.284,9.5202
1576422910409,2871102980623,0.5498,2.3738,9.499
1576422910424,2871122980623,0.5463,2.4433,9.4816
1576422910443,2871142980623,0.5498,2.478,9.4724
1576422910464,2871162980623,0.5615,2.4912999,9.4682
1576422910483,2871182980623,0.57409996,2.5156999,9.4609995
1576422910504,2871202980623,0.5926,2.5665998,9.446199
1576422910525,2871222980623,0.6073,2.6388,9.4253
1576422910545,2871242980623,0.60859996,2.7112,9.404699
1576422910564,2871262980623,0.6013,2.7688,9.3884
1576422910583,2871282980623,0.564,2.8028998,9.3806
1576422910604,2871302980623,0.46359998,2.8072999,9.3847
1576422910623,2871322980623,0.3308,2.8095999,9.3897
1576422910644,2871342980623,0.2333,2.8514,9.38
1576422910664,2871362980623,0.2066,2.9277,9.3571
1576422910684,2871382980623,0.2094,3.0115,9.3303995
1576422910703,2871402982186,0.21759999,3.0679998,9.3118
1576422910723,2871422980623,0.20019999,3.0721998,9.3108
1576422910745,2871442980623,0.1454,3.0207,9.3286
1576422910764,2871462980623,0.0639,2.9533,9.3511
1576422910785,2871482980623,-0.0104,2.8902,9.370999
1576422910805,2871502982186,-0.0818,2.8467999,9.3839
1576422910824,2871522980623,-0.127,2.8344998,9.387199
1576422910845,2871542980623,-0.1431,2.8402,9.3852
1576422910866,2871562980623,-0.148,2.846,9.3834
1576422910884,2871582982186,-0.1591,2.8384,9.3855
1576422910906,2871602982186,-0.1795,2.8163,9.3918
1576422910924,2871622980623,-0.19649999,2.7786,9.402699
1576422910968,2871642980623,-0.2084,2.7398,9.413799
1576422910968,2871662982186,-0.2126,2.7138999,9.4212
1576422910985,2871682980623,-0.2051,2.7028,9.4244995
1576422911003,2871702986873,-0.1909,2.7059,9.424
1576422911025,2871722980623,-0.1788,2.7222,9.419499
1576422911043,2871742980623,-0.17289999,2.7445998,9.413099
1576422911065,2871762982186,-0.1823,2.7674,9.406199
1576422911085,2871782982186,-0.2014,2.7875,9.3998995
1576422911105,2871802982186,-0.2171,2.8042998,9.3946
1576422911126,2871822982186,-0.2296,2.8176,9.3903
1576422911145,2871842980623,-0.24849999,2.8288,9.386499
1576422911164,2871862980623,-0.29279998,2.8476,9.379499
1576422911184,2871882982186,-0.36339998,2.8871,9.3649
1576422911205,2871902982186,-0.4229,2.9582999,9.340199
1576422911224,2871922982186,-0.43129998,3.0388,9.3139
1576422911243,2871942980623,-0.3958,3.0981,9.295899
1576422911265,2871962982186,-0.32119998,3.1155,9.293
1576422911283,2871982982186,-0.2285,3.1095,9.2977
1576422911305,2872002980623,-0.162,3.1028,9.3014
1576422911325,2872022980623,-0.1237,3.1030998,9.3019
1576422911345,2872042980623,-0.100999996,3.1157,9.2979
1576422911365,2872062982186,-0.0764,3.1471999,9.287499
1576422911385,2872082980623,-0.0389,3.1833,9.275499
1576422911405,2872102980623,0.0168,3.2138,9.264999
1576422911425,2872122980623,0.0902,3.2477999,9.2527
1576422911445,2872142980623,0.1531,3.2898,9.2369995
1576422911464,2872162980623,0.1797,3.3339999,9.220699
1576422911485,2872182980623,0.16939999,3.3629,9.2104
1576422911504,2872202980623,0.13069999,3.3555,9.213699
1576422911523,2872222980623,0.0866,3.3028,9.2333
1576422911545,2872242980623,0.0528,3.2182999,9.2633
1576422911563,2872262980623,0.0289,3.1209998,9.296599
1576422911585,2872282980623,0.0116,3.037,9.3245
1576422911605,2872302980623,-0.0121,2.993,9.338699
1576422911625,2872322980623,-0.0438,2.9995,9.3365
1576422911644,2872342980623,-0.0674,3.0477,9.3207
1576422911664,2872362980623,-0.087699994,3.113,9.299
1576422911685,2872382980623,-0.1055,3.1711,9.279099
1576422911705,2872402980623,-0.11009999,3.2148,9.264
1576422911731,2872422980623,-0.0981,3.2607,9.248099
1576422911744,2872442980623,-0.0698,3.3188,9.2277
1576422911765,2872462980623,-0.0323,3.3923,9.201099
1576422911784,2872482980623,0.011,3.4843,9.166699
1576422911803,2872502980623,0.0567,3.5888999,9.1261
1576422911825,2872522980623,0.11009999,3.7041998,9.0794
1576422911843,2872542982186,0.1572,3.8204,9.030399
