timeMillis,timeNanos,x,y,z
1576422909183,2869882982186,192.56,-20.449999,-3.1599998
1576422909203,2869902980623,192.76,-20.42,-2.79
1576422909223,2869922980623,192.94,-20.41,-2.46
1576422909243,2869942980623,193.11,-20.38,-2.1699998
1576422909263,2869962982186,193.29,-20.4,-1.93
1576422909283,2869982982186,193.5,-20.51,-1.6899999
1576422909303,2870002980623,193.75,-20.779999,-1.4699999
1576422909323,2870022980623,194.06,-21.189999,-1.22
1576422909343,2870042980623,194.43,-21.72,-0.90999997
1576422909363,2870062980623,194.70999,-22.34,-0.51
1576422909383,2870082980623,194.9,-23.09,0.04
1576422909403,2870102980623,195.06,-24.0,0.74
1576422909423,2870122980623,195.37,-25.039999,1.49
1576422909443,2870142980623,195.95999,-25.99,2.1
1576422909463,2870162980623,197.15,-26.529999,2.31
1576422909483,2870182980623,198.61,-26.25,2.18
1576422909503,2870202980623,199.92,-24.89,1.54
1576422909523,2870222980623,201.04,-22.869999,0.65
1576422909543,2870242980623,201.86,-21.07,0.14
1576422909563,2870262980623,202.43,-19.97,0.63
1576422909583,2870282980623,202.93,-19.33,1.43
1576422909604,2870302980623,203.26,-18.88,1.9699999
1576422909624,2870322980623,203.55,-18.449999,2.51
1576422909643,2870342980623,203.78,-18.01,2.95
1576422909663,2870362980623,203.98999,-17.449999,2.9099998
1576422909683,2870382980623,204.14,-16.869999,2.59
1576422909704,2870402980623,204.09999,-16.52,2.1499999
1576422909723,2870422980623,203.86,-16.59,1.74
1576422909751,2870442980623,203.45,-17.07,1.54
1576422909765,2870462980623,202.98,-17.76,1.61
1576422909783,2870482982186,202.56999,-18.31,1.7099999
1576422909803,2870502980623,202.2,-18.529999,1.8499999
1576422909824,2870522980623,201.86,-18.35,2.12
1576422909843,2870542982186,201.55,-17.9,2.53
1576422909864,2870562982186,201.25,-17.47,2.98
1576422909883,2870582980623,200.95,-17.109999,3.4199998
1576422909905,2870602980623,200.61,-16.77,3.74
1576422909922,2870622980623,200.14,-16.52,4.0299997
1576422909943,2870642980623,199.61,-16.32,4.37
1576422909963,2870662980623,199.12,-16.07,4.56
1576422909983,2870682982186,198.64,-15.87,4.5299997
1576422910003,2870702980623,198.11,-15.83,4.47
1576422910023,2870722980623,197.44,-15.929999,4.47
1576422910043,2870742982186,196.81999,-16.17,4.4
1576422910063,2870762982186,196.29,-16.44,4.44
1576422910083,2870782980623,195.8,-16.55,4.58
1576422910104,2870802980623,195.23,-16.369999,4.61
1576422910123,2870822982186,194.73999,-16.07,4.49
1576422910143,2870842982186,194.28,-15.809999,4.5099998
1576422910163,2870862980623,193.76,-15.639999,4.7
1576422910183,2870882980623,193.23,-15.46,5.0299997
1576422910203,2870902980623,192.76999,-15.16,5.19
1576422910223,2870922980623,192.40999,-14.74,5.1099997
1576422910242,2870942980623,192.09999,-14.2699995,4.91
1576422910263,2870962980623,191.76999,-13.75,4.5699997
1576422910283,2870982980623,191.39,-13.21,4.14
1576422910303,2871002980623,191.12,-12.78,3.8
1576422910323,2871022980623,191.06999,-12.59,3.6599998
1576422910343,2871042980623,191.23999,-12.679999,3.73
1576422910365,2871062982186,191.42,-13.009999,3.47
1576422910383,2871082980623,191.70999,-13.49,3.3
1576422910403,2871102980623,192.14,-14.03,3.21
1576422910424,2871122980623,192.65999,-14.45,3.1899998
1576422910443,2871142980623,193.23999,-14.66,3.21
1576422910463,2871162980623,193.84999,-14.74,3.28
1576422910483,2871182980623,194.5,-14.889999,3.35
1576422910504,2871202980623,195.2,-15.2,3.46
1576422910523,2871222980623,196.0,-15.639999,3.55
1576422910543,2871242980623,196.83,-16.08,3.55
1576422910563,2871262980623,197.64,-16.43,3.51
1576422910583,2871282980623,198.44,-16.63,3.29
1576422910603,2871302980623,199.15,-16.65,2.71
1576422910623,2871322980623,199.83,-16.65,1.93
1576422910643,2871342980623,200.54,-16.9,1.36
1576422910663,2871362980623,201.37,-17.369999,1.1999999
1576422910683,2871382980623,202.37999,-17.88,1.22
1576422910703,2871402982186,203.40999,-18.23,1.27
1576422910723,2871422980623,204.43,-18.26,1.16
1576422910743,2871442980623,205.4,-17.94,0.84999996
1576422910763,2871462980623,206.37999,-17.52,0.37
1576422910783,2871482980623,207.44,-17.14,-0.06
