timestamps,Freq. Max. Amp-x,Freq. Max. Amp-y,Freq. Max. Amp-z,Power Spec. Entropy-x,Power Spec. Entropy-y,Power Spec. Entropy-z,Weighted Avg. Amp-x,Weighted Avg. Amp-y,Weighted Avg. Amp-z,Weighted Avg. Energy-x,Weighted Avg. Energy-y,Weighted Avg. Energy-z,rss-2GHZ-MAX,rss-2GHZ-MEAN,rss-2GHZ-MIN,rss-2GHZ-STD,rss-5GHZ-MAX,rss-5GHZ-MEAN,rss-5GHZ-MIN,rss-5GHZ-STD,satellites,label
1573436372775.0,0.5778432830202883,0.5778432830202883,1.1556865660405766,2.591674389557843,1.2921950166946907,3.476551564004067,11.85265125129151,9.19437632533768,13.710761595442214,5.518379814577502,1.6948269504847369,10.06404163575727,-46.0,-67.0,-87.0,17.528548142958105,-43.0,-74.27272727272727,-94.0,19.339506946290534,,NO
1573436374275.0,0.5778432830202883,0.5778432830202883,12.134708943426055,1.9594802658507637,1.3982738261150593,3.000807202708718,12.54234986469736,12.26304787745288,13.76998750047914,5.679951129862393,3.351123607888066,11.365877382897645,-46.0,-70.7,-87.0,18.809837851507385,-42.0,-77.84615384615384,-94.0,19.614932121477697,,NO
1573436375775.0,10.40117909436519,6.93411939624346,6.93411939624346,2.77142606594869,2.578665801727961,3.3961717695504636,12.577161058844297,10.23673989602097,17.26683359385966,9.990234214974146,6.822733096067121,14.572707864421439,-46.0,-70.7,-87.0,18.809837851507385,-42.0,-77.84615384615384,-94.0,19.614932121477697,,OI
1573436377275.0,7.511962679263748,7.511962679263748,7.511962679263748,2.408443251872181,2.2415863356340386,3.3428459810245776,12.61509135158587,10.369498601593046,17.975858926797745,10.040655381629314,7.418462960957254,16.829396798339644,-46.0,-70.4,-86.0,18.265815065307105,-44.0,-76.66666666666667,-94.0,18.798640612791363,,OI
1573436378775.0,0.5778432830202883,0.5778432830202883,26.002947735912976,1.3035470919185277,2.010068506712213,3.5540796253220526,8.996706397742933,11.479458596702097,17.84242158111029,2.052949481447886,4.258166210237533,18.17133335705722,-46.0,-70.4,-86.0,18.265815065307105,-44.0,-76.66666666666667,-94.0,18.798640612791363,,OI
1573436380275.0,0.5778432830202883,0.5778432830202883,0.5778432830202883,1.463017059895497,0.9883731358098362,3.5403772163310285,6.812858828423314,8.871638649989174,18.288225493725854,1.650250356475851,1.5933066319960187,17.696713102626997,-50.0,-68.625,-88.0,17.233234606422556,-44.0,-80.6,-99.0,18.718262027585073,,OI
1573436381775.0,0.5778432830202883,0.5778432830202883,11.556865660405766,2.099645154566606,1.4988238164895524,2.7765698545838253,13.020729280408029,13.794472176610922,14.459647485323384,6.894328499049775,4.5564424091079,11.68891914950178,-50.0,-71.44444444444444,-97.0,18.139037773763654,-44.0,-79.96551724137932,-99.0,18.716547645517966,,OI
1573436383275.0,0.5778432830202883,0.5778432830202883,10.979022377385478,2.894135329640747,2.7183183162267115,3.377709996085564,14.338496076004082,15.886541789209101,15.707767897771129,9.362710440473295,9.604986523411075,12.858380154021605,-50.0,-73.7,-97.0,18.52592777703724,-45.0,-79.28571428571429,-99.0,18.690824989162735,,NO
1573436384775.0,8.667649245304325,0.5778432830202883,10.40117909436519,2.9863581036700846,2.3580138721318975,3.4285913797986263,13.331679493830038,14.61248519516067,14.236109006148045,10.22786701489218,7.059791666186714,11.554767775687788,-47.0,-76.41666666666667,-97.0,20.039370970389488,-42.0,-75.75,-94.0,19.807931912914754,,NO
1573436386275.0,7.511962679263748,0.5778432830202883,12.712552226446343,3.0953143530956515,3.0182163126154786,2.994021585321258,14.274464606034487,16.101274879190427,14.043375315075354,11.397826160900943,10.807480283731836,11.59171410733931,-47.0,-76.41666666666667,-97.0,20.039370970389488,-42.0,-75.75,-94.0,19.807931912914754,,NO
