timestamps,Freq. Max. Amp-x,Freq. Max. Amp-y,Freq. Max. Amp-z,Power Spec. Entropy-x,Power Spec. Entropy-y,Power Spec. Entropy-z,Weighted Avg. Amp-x,Weighted Avg. Amp-y,Weighted Avg. Amp-z,Weighted Avg. Energy-x,Weighted Avg. Energy-y,Weighted Avg. Energy-z,rss-2GHZ-MAX,rss-2GHZ-MEAN,rss-2GHZ-MIN,rss-2GHZ-STD,rss-5GHZ-MAX,rss-5GHZ-MEAN,rss-5GHZ-MIN,rss-5GHZ-STD,satellites,label
1576426525618.0,0.7812533758200542,0.7812533758200542,1.5625067516401083,1.9989273066074014,1.55694903766977,2.45644262225708,11.639743803103737,6.6487691404471505,11.579591535477482,3.2661908378513447,1.93782863744737,4.732414376043141,-60.0,-76.58333333333333,-98.0,12.0655040876413,-57.0,-64.16666666666667,-71.0,6.841458583924597,13.0,NO
1576426527118.0,5.46877363074038,1.5625067516401083,1.5625067516401083,2.3331317673183367,1.6507351013963076,2.022678790228119,9.820786429040039,5.631616891752341,10.17518371015251,4.630128331052484,2.70920323132759,3.3414313475377373,,,,,,,,,15.133333333333333,NO
1576426528618.0,0.7812533758200542,0.7812533758200542,0.7812533758200542,2.0917790416743407,1.3316195230309038,1.6847612249509119,11.139565311586036,8.0797660524524,7.397873384557197,3.4508584259202113,1.8055902124128316,2.4830912071209728,-64.0,-79.77777777777777,-95.0,12.07180164936984,-57.0,-70.375,-87.0,9.525459306511156,17.8,NO
1576426530118.0,0.7812533758200542,0.7812533758200542,2.3437601274601625,2.2747604916686055,1.56999662871588,2.1380777417146435,8.694101775928543,8.65385297200337,7.25725497322234,3.554896914074378,2.115086649524809,3.2160903198168924,-64.0,-79.77777777777777,-95.0,12.07180164936984,-57.0,-70.375,-87.0,9.525459306511156,21.933333333333334,NO
1576426531618.0,0.7812533758200542,0.7812533758200542,6.250027006560433,1.2059749287124222,1.541484808282684,2.5849682422042664,10.264943231070083,5.033024499551071,13.536195166376642,1.9751445143883442,1.830554630215711,7.2130036037866585,-62.0,-83.17647058823529,-93.0,11.673173337980838,-63.0,-78.3076923076923,-93.0,10.585800470329731,22.6,OI
1576426533118.0,0.7812533758200542,0.7812533758200542,3.1250135032802167,1.508674392752834,1.6993749927493604,2.5460817559528657,7.917626611555906,11.291897066495062,9.590345872737256,2.253158700151667,2.815989674961306,4.984093850272319,-62.0,-83.17647058823529,-93.0,11.673173337980838,-63.0,-78.3076923076923,-93.0,10.585800470329731,23.0,OI
1576426534618.0,0.7812533758200542,0.7812533758200542,0.7812533758200542,1.0332706903714013,1.2336618115518887,1.7753697084592956,9.604050988730654,6.100553364498488,6.172571994496912,1.6078955564829793,1.5290307836876935,2.7247738497625753,,,,,,,,,23.333333333333332,NO
1576426536118.0,0.7812533758200542,0.7812533758200542,6.250027006560433,1.3608517012156238,1.3635038142047788,2.3041148739441373,9.194182577521854,5.817805326130256,9.142171994679662,2.026905093484733,1.6738275856269496,5.751719664599546,-66.0,-85.44,-97.0,9.80644685908204,-59.0,-69.0,-81.0,8.221921916437786,25.8,NO
1576426537618.0,0.7812533758200542,1.5625067516401083,1.5625067516401083,1.1820997964511408,1.9170577932297268,1.9628914412876237,7.4475882823818935,7.886191400120663,7.578984945772173,1.5450124689812876,2.6970883107228123,3.108778097312714,-66.0,-85.44,-97.0,9.80644685908204,-59.0,-69.0,-81.0,8.221921916437786,26.8,NO
1576426539118.0,0.7812533758200542,1.5625067516401083,1.5625067516401083,2.249330702390884,1.9333713090908737,2.0076687576659675,12.6106512728553,8.672206998524828,7.385628181342308,4.2557717360578735,3.119431936875933,3.3009165123540836,,,,,,,,,27.0,NO
1576426540618.0,2.3437601274601625,1.5625067516401083,1.5625067516401083,1.812993529181722,1.4307950021547509,2.207844311842545,9.042716958263416,8.130873384382959,9.424999354815435,2.8773350052736317,2.4265293796667247,4.018302290870046,-58.0,-86.75,-97.0,12.066655156532264,-57.0,-76.33333333333333,-91.0,11.649988078200863,27.0,NO
1576426542118.0,0.7812533758200542,1.5625067516401083,1.5625067516401083,1.8381562617410236,1.817153195358703,2.0280900014032404,10.820512228614131,6.786492310735113,8.45824548829493,2.951988167223501,2.754088079195771,3.2116726675174037,-50.0,-83.63461538461539,-97.0,12.636986078957408,-54.0,-78.84615384615384,-94.0,13.449885065829509,27.666666666666668,NO
1576426543618.0,0.7812533758200542,1.5625067516401083,1.5625067516401083,2.502204302588058,1.6137555859596338,1.885318682836539,8.94242093867768,9.040323877345486,7.650067895028121,4.508273999673932,2.687570880618079,3.1188320845002995,-50.0,-80.96428571428571,-97.0,12.502805807546741,-54.0,-81.0,-94.0,14.476582074903888,28.0,NO
1576426545118.0,0.7812533758200542,1.5625067516401083,1.5625067516401083,1.829803423595697,1.8912016997784762,1.7388270557343661,8.560761040444046,9.146510349731498,8.91510248247577,2.6146596439803447,3.061998966319027,2.9308819521811467,-56.0,-86.0,-97.0,11.438902257143596,-51.0,-81.94117647058823,-94.0,13.566700531883178,28.0,NO
1576426546618.0,0.7812533758200542,1.5625067516401083,1.5625067516401083,1.3123177095047565,1.4451928081315328,1.9114991686445502,5.457745569099261,4.6250028292271255,9.062163785288828,2.0305010998919135,1.9958657767743477,3.475281968704276,-56.0,-86.0,-97.0,11.438902257143596,-51.0,-81.94117647058823,-94.0,13.566700531883178,28.0,NO
1576426548118.0,2.3437601274601625,1.5625067516401083,1.5625067516401083,1.6782519320821434,1.3128714753373298,1.7120173141755792,6.3884534897244,4.496545930131541,8.624946187037684,2.4647706335427793,2.041941426999859,2.9665507044220414,,,,,,,,,28.0,NO
1576426549618.0,0.7812533758200542,1.5625067516401083,1.5625067516401083,2.3507508396042596,1.9536498357434229,2.216716948302635,8.697824789095757,8.173875954542128,9.873401571117867,4.14775479135975,3.299272865223987,4.168754183126526,-52.0,-82.92307692307692,-97.0,17.795684604210773,-55.0,-74.375,-91.0,15.595973037935146,28.0,NO
1576426551118.0,1.5625067516401083,1.5625067516401083,1.5625067516401083,1.7620976059042344,1.7775046119583275,1.6697817255415743,8.3388695359064,5.093695822035027,5.050840214227021,3.277236239096001,2.905518907267127,2.7978351488497455,-52.0,-82.92307692307692,-97.0,17.795684604210773,-55.0,-74.375,-91.0,15.595973037935146,28.0,NO
