bssid,frequency,rss,ssid,timeMillis,timestamp
88366cd6329b,5805,-92,urbandesignlab_5g,1576420184266,144951396
d8c7c8df0bb2,5785,-83,Welcome_1st_KAIST,1576420184266,144951393
d8c7c8df0bb1,5785,-83,Welcome_KAIST,1576420184266,144951390
d8c7c8df0bb0,5785,-82,eduroam,1576420184266,144951387
d8c7c8de3912,5765,-79,Welcome_1st_KAIST,1576420184266,144951384
d8c7c8de3911,5765,-77,Welcome_KAIST,1576420184266,144951381
d8c7c8de3910,5765,-77,eduroam,1576420184266,144951376
d8c7c8df16e2,2472,-96,Welcome_1st_KAIST,1576420184266,144951372
d8c7c8df16e0,2472,-96,eduroam,1576420184266,144951370
d8c7c8df0ba2,2472,-99,Welcome_1st_KAIST,1576420184266,144951367
d8c7c8df0ba1,2472,-97,Welcome_KAIST,1576420184266,144951365
d8c7c8df0ba0,2472,-99,eduroam,1576420184266,144951362
d8c7c8df16e1,2472,-96,Welcome_KAIST,1576420184266,144951352
d8c7c8de3932,5805,-84,Welcome_1st_KAIST,1576420188075,148763989
d8c7c8de3931,5805,-85,Welcome_KAIST,1576420188075,148763986
d8c7c8de3930,5805,-85,eduroam,1576420188075,148763984
d8c7c8df0bb2,5785,-86,Welcome_1st_KAIST,1576420188075,148763981
d8c7c8df0bb1,5785,-86,Welcome_KAIST,1576420188075,148763978
d8c7c8df0bb0,5785,-86,eduroam,1576420188075,148763973
d8c7c8de3912,5765,-70,Welcome_1st_KAIST,1576420188075,148763971
d8c7c8de3911,5765,-69,Welcome_KAIST,1576420188075,148763968
d8c7c8de3910,5765,-69,eduroam,1576420188075,148763965
88366cd64313,5745,-82,Changlab_5G_1,1576420188075,148763960
d8c7c8df0ba2,2472,-97,Welcome_1st_KAIST,1576420188075,148763958
d8c7c8de3922,2472,-91,Welcome_1st_KAIST,1576420188075,148763955
d8c7c8de3921,2472,-91,Welcome_KAIST,1576420188075,148763951
d8c7c8de3920,2472,-95,eduroam,1576420188075,148763945
64e599411bd8,2462,-95,NanoSpintronicsLab,1576420188075,148763941
d8c7c8df0ba1,2472,-97,Welcome_KAIST,1576420188075,148763939
d8c7c8df0ba0,2472,-97,eduroam,1576420188075,148763933
8472071a2652,2437,-94,WINIX AEN331W,1576420188075,148763930
00246c710552,5240,-65,Welcome_1st_KAIST,1576420188075,148763927
00246c710551,5240,-66,eduroam,1576420188075,148763921
00246c710550,5240,-66,Welcome_KAIST,1576420188075,148763919
8625199074f9,2412,-95,DIRECT-pWC48x Series,1576420188075,148763916
00246c710542,2412,-74,Welcome_1st_KAIST,1576420188075,148763911
88366cd63883,5805,-94,cbe pc room 5G-1,1576420188075,148763906
e8fcaff99fc6,5765,-77,GC-B107-5G-2,1576420188075,148763900
64e599ba264e,2472,-95,iptime,1576420188075,148763884
d8c7c8de3932,5805,-74,Welcome_1st_KAIST,1576420191880,152560176
d8c7c8de3931,5805,-74,Welcome_KAIST,1576420191880,152560173
d8c7c8de3930,5805,-74,eduroam,1576420191880,152560170
d8c7c8df0bb2,5785,-92,Welcome_1st_KAIST,1576420191880,152560167
d8c7c8df0bb1,5785,-94,Welcome_KAIST,1576420191880,152560164
d8c7c8df0bb0,5785,-92,eduroam,1576420191880,152560161
d8c7c8de3912,5765,-61,Welcome_1st_KAIST,1576420191880,152560158
d8c7c8de3911,5765,-63,Welcome_KAIST,1576420191880,152560156
d8c7c8de3910,5765,-63,eduroam,1576420191880,152560152
88366cd64313,5745,-93,Changlab_5G_1,1576420191880,152560149
88366c6f1cd6,5745,-86,iptime5G,1576420191880,152560145
d8c7c8de3922,2472,-88,Welcome_1st_KAIST,1576420191880,152560141
d8c7c8de3921,2472,-87,Welcome_KAIST,1576420191880,152560139
d8c7c8df20a2,2472,-93,Welcome_1st_KAIST,1576420191880,152560136
d8c7c8df20a1,2472,-93,Welcome_KAIST,1576420191880,152560133
d8c7c8df20a0,2472,-92,eduroam,1576420191880,152560130
d8c7c8de3920,2472,-88,eduroam,1576420191880,152560128
00246c710552,5240,-68,Welcome_1st_KAIST,1576420191880,152560126
00246c710551,5240,-65,eduroam,1576420191880,152560123
00246c710550,5240,-67,Welcome_KAIST,1576420191880,152560121
24dec6ec5ef2,5220,-94,Welcome_1st_KAIST,1576420191880,152560118
24dec6ec5ef1,5220,-95,eduroam,1576420191880,152560115
24dec6ec5ef0,5220,-95,Welcome_KAIST,1576420191880,152560112
705dcc4b6166,2417,-79,iptime,1576420191880,152560109
d8c7c8defb12,5180,-92,Welcome_1st_KAIST,1576420191880,152560107
d8c7c8defb11,5180,-94,Welcome_KAIST,1576420191880,152560105
00246c710542,2412,-78,Welcome_1st_KAIST,1576420191880,152560103
00246c710540,2412,-77,Welcome_KAIST,1576420191880,152560098
24dec6e32010,5180,-88,Welcome_KAIST,1576420191880,152560093
d8c7c8df0ba2,2472,-97,Welcome_1st_KAIST,1576420191880,152560089
64e599411bd8,2462,-95,NanoSpintronicsLab,1576420191880,152560084
d8c7c8df0ba1,2472,-97,Welcome_KAIST,1576420191880,152560081
d8c7c8df0ba0,2472,-97,eduroam,1576420191880,152560069
d8c7c8de3932,5805,-77,Welcome_1st_KAIST,1576420195722,156391961
d8c7c8de3931,5805,-74,Welcome_KAIST,1576420195722,156391957
d8c7c8de3930,5805,-74,eduroam,1576420195722,156391951
d8c7c8de3a32,5785,-87,Welcome_1st_KAIST,1576420195722,156391945
d8c7c8de3a31,5785,-82,Welcome_KAIST,1576420195722,156391940
d8c7c8de3a30,5785,-83,eduroam,1576420195722,156391934
e8fcaff99fc6,5765,-84,GC-B107-5G-2,1576420195722,156391930
d8c7c8de3912,5765,-57,Welcome_1st_KAIST,1576420195722,156391925
d8c7c8de3911,5765,-55,Welcome_KAIST,1576420195722,156391921
d8c7c8de3910,5765,-56,eduroam,1576420195722,156391916
88366c6f1cd6,5745,-84,iptime5G,1576420195722,156391911
d8c7c8de3922,2472,-87,Welcome_1st_KAIST,1576420195722,156391906
d8c7c8de3921,2472,-86,Welcome_KAIST,1576420195722,156391903
d8c7c8de3920,2472,-93,eduroam,1576420195722,156391897
d8c7c8df20a2,2472,-87,Welcome_1st_KAIST,1576420195722,156391894
d8c7c8df20a1,2472,-91,Welcome_KAIST,1576420195722,156391889
d8c7c8df20a0,2472,-88,eduroam,1576420195722,156391885
b252165200fe,2437,-93,DIRECT-fe-HP M280 LaserJet,1576420195722,156391880
