,timeMillis,timeNanos,value
148,1573436399436,4702491103774915,1005.7754
149,1573436399637,4702491303774915,1005.7754
150,1573436399837,4702491503773353,1005.76465
151,1573436400036,4702491703773353,1005.75
152,1573436400236,4702491903773353,1005.7475599999999
153,1573436400436,4702492103773353,1005.7539
154,1573436400637,4702492303773353,1005.7617
155,1573436400837,4702492503774915,1005.7588
156,1573436401037,4702492703773353,1005.75
157,1573436401237,4702492903773353,1005.7510000000001
158,1573436401437,4702493103774915,1005.75146
159,1573436401638,4702493303774915,1005.7666
160,1573436401837,4702493503774915,1005.7456
161,1573436402037,4702493703773353,1005.7534
162,1573436402236,4702493903774915,1005.74365
163,1573436402436,4702494103774915,1005.7373
164,1573436402637,4702494303774915,1005.7622
165,1573436402836,4702494503773353,1005.7534
166,1573436403037,4702494703773353,1005.7505
167,1573436403236,4702494903773353,1005.7622
168,1573436403436,4702495103773353,1005.76855
169,1573436403637,4702495303774915,1005.75586
170,1573436403838,4702495503773353,1005.7505
171,1573436404037,4702495703773353,1005.75586
172,1573436404236,4702495903773353,1005.7651400000001
173,1573436404437,4702496103773353,1005.7676
174,1573436404638,4702496303773353,1005.75195
175,1573436404836,4702496503774915,1005.7539
176,1573436405038,4702496703773353,1005.7554
177,1573436405236,4702496903774915,1005.7622
178,1573436405438,4702497103774915,1005.7637
179,1573436405636,4702497303774915,1005.7666
180,1573436405836,4702497503773353,1005.7798
181,1573436406037,4702497703773353,1005.7656
182,1573436406236,4702497903774915,1005.7544
183,1573436406436,4702498103774915,1005.7617
184,1573436406637,4702498303773353,1005.7666
185,1573436406837,4702498503773353,1005.76953
186,1573436407036,4702498703773353,1005.7676
187,1573436407238,4702498903774915,1005.7715
188,1573436407437,4702499103774915,1005.77734
189,1573436407637,4702499303774915,1005.7612
190,1573436407836,4702499503773353,1005.7593
191,1573436408037,4702499703773353,1005.7651400000001
192,1573436408238,4702499903774915,1005.7651400000001
193,1573436408437,4702500103774915,1005.7597699999999
194,1573436408637,4702500303773353,1005.7637
195,1573436408836,4702500503773353,1005.74365
196,1573436409039,4702500703773353,1005.7539
197,1573436409237,4702500903774915,1005.7676
198,1573436409437,4702501103774915,1005.75684
199,1573436409637,4702501303774915,1005.7744
200,1573436409837,4702501503773353,1005.7651400000001
201,1573436410038,4702501703773353,1005.7637
202,1573436410237,4702501903774915,1005.76025
203,1573436410437,4702502103774915,1005.76465
204,1573436410637,4702502303774915,1005.7588
205,1573436410836,4702502503774915,1005.77295
206,1573436411037,4702502703773353,1005.7637
207,1573436411238,4702502903774915,1005.7588
208,1573436411437,4702503103774915,1005.7554
209,1573436411636,4702503303774915,1005.76074
210,1573436411837,4702503503773353,1005.7671
211,1573436412037,4702503703773353,1005.7656
212,1573436412236,4702503903773353,1005.75195
213,1573436412437,4702504103773353,1005.7489999999999
214,1573436412636,4702504303773353,1005.7451
