,timeMillis,timeNanos,x,y,z
91,1573436371598,4702463257894915,144.42,-17.39,-7.02
92,1573436371617,4702463277894915,144.43,-17.4,-7.0299997
93,1573436371638,4702463297894915,144.43,-17.42,-7.06
94,1573436371657,4702463317894915,144.43,-17.41,-7.1
95,1573436371678,4702463337894915,144.45,-17.4,-7.14
96,1573436371698,4702463357894915,144.45999,-17.38,-7.17
97,1573436371718,4702463377894915,144.47,-17.359999,-7.19
98,1573436371737,4702463397894915,144.45999,-17.35,-7.2
99,1573436371758,4702463417893353,144.45999,-17.369999,-7.21
100,1573436371777,4702463437894915,144.45999,-17.4,-7.2
101,1573436371797,4702463457894915,144.45,-17.43,-7.18
102,1573436371818,4702463477894915,144.45,-17.46,-7.18
103,1573436371839,4702463497893353,144.45,-17.49,-7.18
104,1573436371857,4702463517894915,144.47,-17.5,-7.18
105,1573436371878,4702463537894915,144.48,-17.51,-7.19
106,1573436371898,4702463557894915,144.48998999999998,-17.51,-7.21
107,1573436371919,4702463577894915,144.48998999999998,-17.5,-7.21
108,1573436371940,4702463597894915,144.48,-17.51,-7.21
109,1573436371957,4702463617894915,144.47,-17.529999,-7.2
110,1573436371977,4702463637893353,144.45999,-17.539998999999998,-7.2
111,1573436371998,4702463657893353,144.47,-17.55,-7.21
112,1573436372018,4702463677894915,144.47,-17.55,-7.2
113,1573436372041,4702463697893353,144.48,-17.55,-7.2
114,1573436372058,4702463717893353,144.45999,-17.619999,-7.14
115,1573436372078,4702463737894915,144.45999,-17.609999,-7.16
116,1573436372098,4702463757894915,144.47,-17.6,-7.16
117,1573436372118,4702463777894915,144.48,-17.57,-7.17
118,1573436372137,4702463797894915,144.48,-17.539998999999998,-7.17
119,1573436372158,4702463817894915,144.48,-17.52,-7.18
120,1573436372177,4702463837894915,144.48998999999998,-17.51,-7.18
121,1573436372198,4702463857894915,144.5,-17.5,-7.18
122,1573436372219,4702463877894915,144.5,-17.49,-7.18
123,1573436372239,4702463897894915,144.5,-17.47,-7.18
124,1573436372257,4702463917894915,144.5,-17.47,-7.18
125,1573436372278,4702463937894915,144.48998999999998,-17.46,-7.19
126,1573436372297,4702463957894915,144.5,-17.449999,-7.19
127,1573436372319,4702463977894915,144.51,-17.43,-7.18
128,1573436372337,4702463997894915,144.51,-17.43,-7.18
129,1573436372358,4702464017893353,144.5,-17.43,-7.18
130,1573436372379,4702464037894915,144.48998999999998,-17.43,-7.17
131,1573436372399,4702464057894915,144.48998999999998,-17.43,-7.18
132,1573436372417,4702464077894915,144.48998999999998,-17.42,-7.19
133,1573436372438,4702464097894915,144.48998999999998,-17.4,-7.2
134,1573436372457,4702464117893353,144.5,-17.38,-7.2
135,1573436372478,4702464137894915,144.5,-17.38,-7.2
136,1573436372497,4702464157894915,144.48998999999998,-17.39,-7.2
137,1573436372518,4702464177893353,144.48998999999998,-17.38,-7.21
138,1573436372539,4702464197893353,144.5,-17.35,-7.21
139,1573436372559,4702464217894915,144.51,-17.33,-7.2
140,1573436372577,4702464237894915,144.51,-17.33,-7.18
141,1573436372598,4702464257894915,144.48998999999998,-17.35,-7.17
142,1573436372618,4702464277894915,144.48998999999998,-17.34,-7.17
143,1573436372639,4702464297894915,144.5,-17.32,-7.17
144,1573436372658,4702464317894915,144.5,-17.3,-7.17
145,1573436372678,4702464337894915,144.51,-17.27,-7.17
146,1573436372697,4702464357894915,144.51,-17.25,-7.16
147,1573436372718,4702464377894915,144.5,-17.24,-7.1499996
148,1573436372738,4702464397894915,144.48998999999998,-17.24,-7.14
149,1573436372757,4702464417894915,144.48,-17.25,-7.14
150,1573436372777,4702464437894915,144.48,-17.24,-7.14
151,1573436372799,4702464457894915,144.48998999999998,-17.22,-7.1499996
152,1573436372818,4702464477893353,144.5,-17.199999,-7.1499996
153,1573436372838,4702464497894915,144.5,-17.199999,-7.14
154,1573436372857,4702464517894915,144.5,-17.199999,-7.14
155,1573436372878,4702464537894915,144.48998999999998,-17.199999,-7.1499996
156,1573436372898,4702464557894915,144.48998999999998,-17.19,-7.16
157,1573436372919,4702464577893353,144.5,-17.16,-7.17
158,1573436372941,4702464597894915,144.51,-17.13,-7.18
159,1573436372958,4702464617894915,144.51,-17.119999,-7.18
160,1573436372977,4702464637893353,144.51,-17.109999,-7.18
161,1573436372998,4702464657894915,144.51,-17.1,-7.18
162,1573436373018,4702464677893353,144.51,-17.09,-7.18
163,1573436373042,4702464697893353,144.51,-17.08,-7.18
164,1573436373059,4702464717894915,144.51,-17.08,-7.18
165,1573436373078,4702464737894915,144.51,-17.06,-7.18
166,1573436373098,4702464757894915,144.52,-17.05,-7.19
167,1573436373120,4702464777894915,144.52,-17.02,-7.19
168,1573436373138,4702464797894915,144.53,-16.99,-7.2
169,1573436373158,4702464817894915,144.53,-16.97,-7.19
170,1573436373177,4702464837894915,144.53,-16.949999,-7.19
171,1573436373198,4702464857894915,144.53,-16.94,-7.19
172,1573436373217,4702464877894915,144.52,-16.94,-7.19
173,1573436373238,4702464897894915,144.52,-16.93,-7.19
174,1573436373257,4702464917894915,144.53,-16.92,-7.19
175,1573436373278,4702464937894915,144.53,-16.91,-7.2
176,1573436373320,4702464957894915,144.53,-16.9,-7.21
177,1573436373320,4702464977894915,144.52,-16.88,-7.22
178,1573436373337,4702464997894915,144.52,-16.859999,-7.23
179,1573436373358,4702465017894915,144.52,-16.85,-7.25
180,1573436373377,4702465037894915,144.51,-16.84,-7.27
181,1573436373399,4702465057894915,144.52,-16.83,-7.29
182,1573436373417,4702465077894915,144.52,-16.81,-7.31
183,1573436373438,4702465097894915,144.54,-16.8,-7.31
184,1573436373457,4702465117894915,144.55,-16.779999,-7.33
185,1573436373478,4702465137894915,144.53,-16.8,-7.33
186,1573436373498,4702465157894915,144.52,-16.8,-7.33
187,1573436373519,4702465177894915,144.52,-16.789998999999998,-7.3399997
188,1573436373539,4702465197893353,144.53,-16.76,-7.35
189,1573436373558,4702465217894915,144.55,-16.72,-7.3599997
190,1573436373577,4702465237894915,144.55,-16.699999,-7.3599997
191,1573436373598,4702465257910540,144.55,-16.699999,-7.3599997
192,1573436373617,4702465277894915,144.54,-16.699999,-7.3599997
193,1573436373639,4702465297894915,144.53,-16.71,-7.3599997
194,1573436373657,4702465317894915,144.53,-16.699999,-7.37
195,1573436373678,4702465337894915,144.55,-16.69,-7.37
196,1573436373699,4702465357894915,144.56,-16.699999,-7.35
197,1573436373719,4702465377894915,144.54,-16.73,-7.35
198,1573436373737,4702465397894915,144.53,-16.75,-7.35
199,1573436373758,4702465417894915,144.54,-16.76,-7.3599997
200,1573436373778,4702465437894915,144.55,-16.75,-7.3599997
201,1573436373798,4702465457894915,144.54,-16.75,-7.37
202,1573436373817,4702465477894915,144.54,-16.75,-7.37
203,1573436373838,4702465497894915,144.54,-16.76,-7.37
204,1573436373857,4702465517894915,144.53,-16.77,-7.37
205,1573436373878,4702465537894915,144.53,-16.779999,-7.37
206,1573436373898,4702465557894915,144.54,-16.77,-7.39
207,1573436373919,4702465577894915,144.55,-16.77,-7.39
208,1573436373960,4702465597894915,144.54,-16.779999,-7.39
209,1573436373960,4702465617894915,144.54,-16.779999,-7.3799996
210,1573436373977,4702465637894915,144.53,-16.77,-7.3799996
211,1573436373998,4702465657893353,144.55,-16.65,-7.3799996
212,1573436374017,4702465677894915,144.56999,-16.42,-7.3999996
213,1573436374042,4702465697893353,144.59999,-16.15,-7.41
214,1573436374057,4702465717894915,144.59999,-16.06,-7.41
215,1573436374078,4702465737894915,144.55,-16.15,-7.3799996
216,1573436374097,4702465757894915,144.48998999999998,-16.41,-7.35
217,1573436374118,4702465777893353,144.45999,-16.71,-7.3599997
218,1573436374137,4702465797894915,144.51,-16.869999,-7.3799996
219,1573436374157,4702465817894915,144.59999,-16.92,-7.41
220,1573436374177,4702465837894915,144.65,-16.9,-7.44
221,1573436374197,4702465857894915,144.64,-16.83,-7.45
222,1573436374217,4702465877894915,144.59999,-16.76,-7.43
223,1573436374238,4702465897894915,144.54,-16.699999,-7.3999996
224,1573436374257,4702465917894915,144.5,-16.66,-7.39
225,1573436374277,4702465937894915,144.48998999999998,-16.63,-7.3799996
226,1573436374297,4702465957894915,144.51,-16.64,-7.3799996
227,1573436374318,4702465977894915,144.54,-16.71,-7.3999996
228,1573436374337,4702465997894915,144.55,-16.82,-7.41
229,1573436374357,4702466017894915,144.56,-16.91,-7.4199996
230,1573436374377,4702466037894915,144.56999,-16.97,-7.4199996
