floor,timeMillis
-1,1576420174830
-5,1576420192329
-4,1576420207237
-4,1576420250494
-4,1576420315091
-4,1576420352366
7,1576420433247
-3,1576420440627
-5,1576420530265
7,1576420535816
7,1576420623777
-3,1576420629468
-5,1576420753093
7,1576420816032
-3,1576420822757
-5,1576420910281
-4,1576420915520
2,1576420956629
-3,1576420960396
-5,1576421048934
7,1576421053368
-4,1576421092153
-3,1576421098799
-5,1576421129485
-4,1576421138417
2,1576421340665
-3,1576421346064
-5,1576421397420
7,1576421404315
7,1576421504897
-3,1576421511112
-5,1576421553068
7,1576421557310
-4,1576421715729
-4,1576421791350
-4,1576421810750
-3,1576421817008
-5,1576421851963
7,1576421856787
2,1576421899980
-3,1576421902858
-5,1576421964816
7,1576421969586
-4,1576422012448
-3,1576422018321
